CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,DFLT_STTS_INSTRMNT,NEVS_DFLT_STTS_INSTRMNT,DT_DFLT_STTS_INSTRMNT,NEVS_DT_DFLT_STTS_INSTRMNT,DFLT_STTS,DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,PD,NEVS_PD,CNTRY,INSTTTNL_SCTR_DTL,INSTTTNL_SCTR,LGL_FRM,HD_QRTR_CD,SSMSIGNIFICANCE,DT_LGL_PRCDNG_STTS,LGL_PRCDNG_STTS,DT_ENTRPRS_SZ,ENTRPRS_SZ,BLNC_SHT_TTL_CRRNCY,ANNL_TRNVR_CRRNCY,NMBR_EMPLYS,TRRTRL_UNT,IMMDT_PRNT_CD,ULTMT_PRNT_CD,LEI,NM_ENTTY,STRT,CTY,PSTL_CD,ECNMC_ACTVTY,ACCNTNG_FRMWRK_SL,IS_ANCRDT_RPRTNG_AGNT,HD_QRTR_CNTRY
C_0,2019-06-30,AL0ECBM00067,I_0,AT_Bank,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_ONA_null,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_ONA_0,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_null,AT_Bank,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_ONA_null,2019-06-30,AL0ECBM00067,JLA_0,AT_Bank,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_ONA_0,2019-06-30,AL0ECBM00067,JLA_0,AT_Bank,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_0,AT_Bank,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_smaller,AT_Bank,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_equal,AT_Bank,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_greater,AT_Bank,14,,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
