ENTTY_RIAD_CD,VLD_FRM,VLD_T,NM_ENTTY,DT_RFRNC
AT_Bank,2016-01-01,9999-12-31,AT_Bank,2019-06-30
EEAS_OA25,2016-01-01,9999-12-31,Name of AS_OA25,2019-06-30
EEAS_OA30,2016-01-01,9999-12-31,Name of AS_OA30,2019-06-30
FIAS_OA_BRA,2016-01-01,9999-12-31,Name of AS_OA_BRA,2019-06-30
LVAS_OA_BRA,2016-01-01,9999-12-31,Name of AS_OA_BRA,2019-06-30
ITTS_ENT_40,1987-01-01,9999-12-31,Name of TS_ENT_40,2019-06-30
ITTS_ENT_41,1987-01-01,9999-12-31,Name of TS_ENT_41,2019-06-30
ITTS_ENT_42,1987-01-01,9999-12-31,Name of TS_ENT_42,2019-06-30
ITTS_ENT_43,1987-01-01,9999-12-31,Name of TS_ENT_43,2019-06-30
ITTS_ENT_49,1987-01-01,9999-12-31,Name of TS_ENT_49,2019-06-30
ITTS_ENT_60,1987-01-01,9999-12-31,Name of TS_ENT_60,2019-06-30
ITTS_ENT_61,1987-01-01,9999-12-31,Name of TS_ENT_61,2019-06-30
ITTS_ENT_62,1987-01-01,9999-12-31,Name of TS_ENT_62,2019-06-30
ITTS_ENT_63,1987-01-01,9999-12-31,Name of TS_ENT_63,2019-06-30
AL0ECBM00067,2012-06-20,9999-12-31,Raiffeisen Invest Sh.A.,2019-06-30
