FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM
D,EUR,ISK,EN00,E,2019-01-01,12,P1D,,M,,,,,,,,,,2,,,,,K,ISK,0,A,F,,
D,EUR,ISK,EN00,E,2019-02-01,14.5,P1D,,M,,,,,,,,,,2,,,,,K,ISK,0,A,F,,
D,EUR,ISK,EN00,E,2019-03-01,19,P1D,,M,,,,,,,,,,2,,,,,K,ISK,0,A,F,,
D,EUR,ISK,EN00,E,2019-04-01,23.5,P1D,,M,,,,,,,,,,2,,,,,K,ISK,0,A,F,,
D,EUR,ISK,EN00,E,2019-05-01,71,P1D,,M,,,,,,,,,,2,,,,,K,ISK,0,A,F,,
D,EUR,ISK,EN00,E,2019-06-01,93.5,P1D,,M,,,,,,,,,,2,,,,,K,ISK,0,A,F,,
D,EUR,ISK,EN00,E,2019-07-01,19.2,P1D,,M,,,,,,,,,,2,,,,,K,ISK,0,A,F,,
D,EUR,ISK,EN00,E,2019-08-01,18.5,P1D,,M,,,,,,,,,,2,,,,,K,ISK,0,A,F,,
M,EUR,ISK,EN00,E,2019-01-31,10,P1D,,M,,,,,,,,,,2,,,,,K,ISK,0,A,F,,
M,EUR,ISK,EN00,E,2019-02-28,13.5,P1D,,M,,,,,,,,,,2,,,,,K,ISK,0,A,F,,
