DFLT_STTS,DT_DFLT_STTS,ENTTY_RIAD_CD,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,OBSRVD_AGNT_CD,DT_RFRNC
14,2010-07-01,ITTS_ENT_40,,,EEAS_OA26,2017-03-31
14,2100-01-01,ITTS_ENT_41,,,EEAS_OA26,2017-03-31
20,2010-07-01,ITTS_ENT_42,,,EEAS_OA26,2017-03-31
14,2010-07-02,EEAS_OA30,,,EEAS_OA26,2017-03-31
14,2010-07-03,FIAS_OA_BRA,,,EEAS_OA26,2017-03-31
14,2010-07-04,LVAS_OA_BRA,,,EEAS_OA26,2017-03-31
20,,ITTS_ENT_49,,0,EEAS_OA26,2017-03-31
14,,ITTS_ENT_60,,0,EEAS_OA26,2017-03-31
,2010-07-01,ITTS_ENT_61,-5,,EEAS_OA26,2017-03-31
14,2010-07-01,ITTS_ENT_62,,,EEAS_OA26,2017-03-31
,2010-07-01,ITTS_ENT_63,-5,,EEAS_OA26,2017-03-31
14,2010-07-01,ITTS_ENT_410,,,EEAS_OA26,2017-03-31
14,2010-07-01,ITTS_ENT_420,,,EEAS_OA26,2017-03-31
14,2010-07-01,ITTS_ENT_43,,,EEAS_OA26,2017-03-31
14,2010-07-01,ITTS_ENT_CN_CHNGS_OK,,,EEAS_OA26,2017-03-31
