CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,ENTTY_RL,INSTRMNT_ID,OBSRVD_AGNT_CD,DT_INCPTN,RCRS,TYP_INSTRMNT
C_CN0541,2019-09-30,EEAS_ENT01,2,I_CN0541,EEAS_OA30,2019-09-25,2,1002
C_CN0541a,2019-09-30,EEAS_ENT01,2,I_CN0541a,EEAS_OA30,2019-09-25,2,1002
C_DT_STTLMNT,2019-09-30,EEAS_ENT02,2,I_DT_STTLMNT,EEAS_OA30,2018-11-11,2,1000
C_CN0935,2019-09-30,EEAS_ENT03,2,I_CN0935,EEAS_OA30,2019-03-28,2,1002
C_CN0940,2019-09-30,EEAS_ENT02,2,I_CN0940,EEAS_OA30,2019-02-28,2,1003
C_DT_PRFRMNG_STTS,2019-09-30,EEAS_ENT04,2,I_DT_PRFRMNG_STTS,EEAS_OA30,2014-12-01,2,1000
C_H_CRRYNG_AMNT_INSTRMNT,2019-09-30,EEAS_ENT05,2,I_H_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,2008-11-11,2,1000
C_L_CRRYNG_AMNT_INSTRMNT,2019-09-30,EEAS_ENT06,2,I_L_CRRYNG_AMNT_INSTRMNT,EEAS_OA30,2008-11-11,2,1000
CCNTR_16,2019-09-30,EEAS_ENT06,2,CINSTR_16,EEAS_OA30,2008-11-11,2,1000
CCNTR_17,2019-09-30,EEAS_ENT05,2,CINSTR_17,EEAS_OA30,2008-11-11,2,1000
CCNTR_18,2019-09-30,EEAS_ENT05,2,CINSTR_18,EEAS_OA30,2008-11-11,2,1000
CCNTR_19,2019-09-30,EEAS_ENT06,2,CINSTR_19,EEAS_OA30,2008-11-11,2,1000
C_ANNLSD_AGRD_RT,2019-09-30,EEAS_ENT07,2,I_ANNLSD_AGRD_RT,EEAS_OA30,2019-09-30,2,1002
C_ARRRS_INSTRMNT,2019-09-30,EEAS_ENT07,2,I_ARRRS_INSTRMNT,EEAS_OA30,2019-09-25,2,1002
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,2019-09-30,EEAS_ENT07,2,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,2019-09-25,2,1002
C_DT_FRBRNC_STTS,2019-09-30,EEAS_ENT07,2,I_DT_FRBRNC_STTS,EEAS_OA30,2019-09-25,2,1002
C_IG0010,2019-09-30,FR307615757,2,I_IG0010,EEAS_OA30,2019-09-25,2,1002
C_IG0011,2019-09-30,LT301694694,2,I_IG0011,EEAS_OA30,2019-09-25,2,1002
C_IG0012,2019-09-30,LV40003817773,2,I_IG0012,EEAS_OA30,2019-09-25,2,1002
