DT_RFRNC,ENTTY_RIAD_CD
2019-09-30,EEAS_OA30
2019-09-30,EEAS_ENT05
2019-09-30,EEAS_ENT07
2019-09-30,EEAS_ENT02
2019-09-30,DESPV092384
2019-09-30,EEAS_ENT01
2019-09-30,ITOA_TS_WR4A_CD0030
2019-09-30,EEAS_OA31
2019-09-30,ITTS_ENT_8
2019-09-30,ITTS_ENT_6
2019-09-30,EEAS_ENT03
2019-09-30,EEAS_ENT04
2019-09-30,EEAS_ENT06
2019-09-30,FR307615757
2019-09-30,LT301694694
2019-09-30,LV40003817773
2019-09-30,ESB66706714
2019-09-30,LUKEUFBDHF3988
2019-09-30,LV40003229974
2019-09-30,AT0000073932459
2019-09-30,FR433378981
2019-09-30,ITTS_ENT_61
2019-09-30,DEB432O
2019-09-30,DEBL1T9
2019-09-30,DEB5DXO
2019-09-30,ITTS_ENT_63 
2019-09-30,PL08682
2019-09-30,ITTS_ENT_7
2019-09-30,EEE_DT_DFLT_STTS_ENTTY
2019-09-30,DEAKENT
2019-09-30,EEAS_OA32
2019-09-30,DEB4PY7
2019-09-30,DEBA32568564
2019-09-30,CZ11111112
2019-09-30,DEP8293X307
2019-09-30,EEAS_ENT16
2019-09-30,EEAS_ENT17
2019-09-30,EEAS_ENT18
2019-09-30,EEAS_ENT19
2019-09-30,EEAS_ENT20
