CNTRCT_ID,DT_RFRNC,INSTRMNT_ID,OBSRVD_AGNT_CD,PRTCTN_ID,NEVS_PRTCTN_ALLCTD_VL,NEVS_THRD_PRTY_PRRTY_CLMS,PRTCTN_ALLCTD_VL,THRD_PRTY_PRRTY_CLMS,PRTCTN_PRVDR_CD
C_CN0541,2019-09-30,I_CN0541,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_CN0541a,2019-09-30,I_CN0541a,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_ANNLSD_AGRD_RT,2019-09-30,I_ANNLSD_AGRD_RT,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_ARRRS_INSTRMNT,2019-09-30,I_ARRRS_INSTRMNT,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,2019-09-30,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_DT_FRBRNC_STTS,2019-09-30,I_DT_FRBRNC_STTS,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_IG0010,2019-09-30,I_IG0010,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_IG0011,2019-09-30,I_IG0011,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_IG0012,2019-09-30,I_IG0012,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_IG0090,2019-09-30,I_IG0090,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_IG0190a,2019-09-30,I_IG0190a,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_IG0190b,2019-09-30,I_IG0190b,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_CY0110,2019-09-30,I_CY0110,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_IG0010b,2019-09-30,I_IG0010b,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_IG0011b,2019-09-30,I_IG0011b,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
C_IG0012b,2019-09-30,I_IG0012b,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
CCNTR_34,2019-09-30,CINSTR_34,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
CCNTR_35,2019-09-30,CINSTR_35,EEAS_OA30,GUA_1,,,3375000.0,0,EEAS_ENT16
