DT_RFRNC,ENTTY_RIAD_CD,OBSRVD_AGNT_CD,DFLT_STTS,DT_DFLT_STTS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_PD,PD
2017-03-31,ITTS_ENT_40,EEAS_OA26,14,2010-07-01,,,,0.01
2017-03-31,ITTS_ENT_41,EEAS_OA26,14,2100-01-01,,,,0.01
2017-03-31,ITTS_ENT_42,EEAS_OA26,20,2010-07-01,,,,0.01
2017-03-31,EEAS_OA30,EEAS_OA26,14,2010-07-02,,,,0.01
2017-03-31,FIAS_OA_BRA,EEAS_OA26,14,2010-07-03,,,,0.01
2017-03-31,LVAS_OA_BRA,EEAS_OA26,14,2010-07-04,,,,0.01
2017-03-31,ITTS_ENT_49,EEAS_OA26,20,,,0,,0.01
2017-03-31,ITTS_ENT_60,EEAS_OA26,14,,,0,,1.0
2017-03-31,ITTS_ENT_61,EEAS_OA26,,2010-07-01,-5,,,1.0
2017-03-31,ITTS_ENT_62,EEAS_OA26,14,2010-07-01,,,,1.0
2017-03-31,ITTS_ENT_63,EEAS_OA26,,2010-07-01,-5,,,1.0
2017-03-31,ITTS_ENT_410,EEAS_OA26,14,2010-07-01,,,,0.01
2017-03-31,ITTS_ENT_420,EEAS_OA26,14,2010-07-01,,,,0.01
2017-03-31,ITTS_ENT_43,EEAS_OA26,14,2010-07-01,,,,0.01
2017-03-31,ITTS_ENT_CN_CHNGS_OK,EEAS_OA26,14,2010-07-01,,,,0.1
