VLD_T,TYP_RQST,ENTTY_RIAD_CD,CONF,VLD_FRM,SOURCE,OBS_VALUE
9999-12-31,"UPDATE","EEAS_OA25","N",2016-01-01,"STAT","EE206"
9999-12-31,"UPDATE","ITTS_ENT_40","N",2016-01-01,"STAT","IT999"
9999-12-31,"UPDATE","ITTS_ENT_41","N",2016-01-01,"STAT","IT999"
9999-12-31,"UPDATE","ITTS_ENT_42","N",2016-01-01,"STAT","IT999"
9999-12-31,"UPDATE","EEAS_OA30","N",2016-01-01,"STAT","EE206"
9999-12-31,"UPDATE","FIAS_OA_BRA","N",2016-01-01,"STAT","FI99"
9999-12-31,"UPDATE","LVAS_OA_BRA","N",2016-01-01,"STAT","LV903"
9999-12-31,"UPDATE","ITTS_ENT_49","N",2016-01-01,"STAT","IT999"
9999-12-31,"UPDATE","ITTS_ENT_60","N",2016-01-01,"STAT","IT999"
9999-12-31,"UPDATE","ITTS_ENT_61","N",2016-01-01,"STAT","IT999"
9999-12-31,"UPDATE","ITTS_ENT_62","N",2016-01-01,"STAT","IT999"
9999-12-31,"UPDATE","ITTS_ENT_63","N",2016-01-01,"STAT","IT999"
9999-12-31,"UPDATE","ITTS_ENT_43","N",2016-01-01,"STAT","IT999"
