CMMTMNT_INCPTN,CNTRCT_ID,CRRNCY_DNMNTN,DT_END_INTRST_ONLY,DT_INCPTN,DT_LGL_FNL_MTRTY,DT_STTLMNT,FDCRY,FV_CHNG_CR_BFR_PRCHS,INSTRMNT_ID,INTRST_RT_CP,INTRST_RT_FLR,INTRST_RT_RST_FRQNCY,INTRST_RT_SPRD,NEVS_CMMTMNT_INCPTN,NEVS_DT_END_INTRST_ONLY,NEVS_DT_LGL_FNL_MTRTY,NEVS_DT_STTLMNT,NEVS_FV_CHNG_CR_BFR_PRCHS,NEVS_INTRST_RT_CP,NEVS_INTRST_RT_FLR,NEVS_INTRST_RT_RST_FRQNCY,NEVS_INTRST_RT_SPRD,NEVS_RFRNC_RT,NEVS_SYNDCTD_CNTRCT_ID,PRJCT_FNNC_LN,PRPS,PYMNT_FRQNCY,RCRS,RFRNC_RT,RPYMNT_RGHTS,SBRDNTD_DBT,TYP_AMRTSTN,TYP_INSTRMNT,TYP_INTRST_RT,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_PRPS,NEVS_CRRNCY_DNMNTN,NEVS_TYP_AMRTSTN,NEVS_PRJCT_FNNC_LN,NEVS_DT_INCPTN,NEVS_RPYMNT_RGHTS,NEVS_SBRDNTD_DBT,NEVS_RCRS,NEVS_TYP_INTRST_RT,NEVS_PYMNT_FRQNCY,SYNDCTD_CNTRCT_ID,NEVS_TYP_INSTRMNT,NEVS_FDCRY
2250000,C_CN0290,EUR,,2019-09-25,2021-09-10,,2,,CINSTR_10,,,,,,0,,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
2250000,C_CN0470a,EUR,,2019-09-25,,,2,,CINSTR_10a,,,,,,0,0,0,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,C_CN0470b,EUR,,2018-11-11,,2018-11-11,2,,CINSTR_11,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
185000,C_CN0520,EUR,,2019-03-28,2021-03-10,2019-04-05,2,,CINSTR_11a,,,,,,0,,,0,0,0,0,0,0,0,1,8,4,2,,2,2,4,1002,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,C_CN0530,EUR,,2019-02-28,,2019-02-28,2,,CINSTR_12,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,C_CN0551a,EUR,,2014-12-01,,2014-12-01,2,,CINSTR_13,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,C_CN0551b,EUR,,2008-11-11,,2008-11-11,2,,CINSTR_14,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,C_CN0620,EUR,,2008-11-11,,2008-11-11,2,,CINSTR_15,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,C_CN0702app,EUR,,2008-11-11,,2008-11-11,2,,CINSTR_16,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
,C_CN0702notreq,EUR,,2008-11-11,,2008-11-11,2,,CINSTR_17,,,,,0,0,0,,0,0,0,0,0,0,0,2,11,15,2,,1,2,5,1000,1,EEAS_OA35,2019-07-31,,,,,,,,,,,,,
