ACCMLTD_CHNGS_FV_CR,ACCMLTD_IMPRMNT,ACCMLTD_WRTFFS,ACCNTNG_CLSSFCTN,CMLTV_RCVRS_SNC_DFLT,CNTRCT_ID,CRRYNG_AMNT,DT_FRBRNC_STTS,DT_PRFRMNG_STTS,FRBRNC_STTS,IMPRMNT_ASSSSMNT_MTHD,IMPRMNT_STTS,INSTRMNT_ID,NEVS_ACCMLTD_CHNGS_FV_CR,NEVS_ACCMLTD_IMPRMNT,NEVS_ACCNTNG_CLSSFCTN,NEVS_CMLTV_RCVRS_SNC_DFLT,NEVS_CRRYNG_AMNT,NEVS_DT_FRBRNC_STTS,NEVS_DT_PRFRMNG_STTS,NEVS_FRBRNC_STTS,NEVS_IMPRMNT_ASSSSMNT_MTHD,NEVS_IMPRMNT_STTS,NEVS_PRDNTL_PRTFL,NEVS_PRVSNS_OFF_BLNC_SHT,NEVS_SRC_ENCMBRNC,PRDNTL_PRTFL,PRFRMNG_STTS,PRVSNS_OFF_BLNC_SHT,RCGNTN_STTS,SRC_ENCMBRNC,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_PRFRMNG_STTS,NEVS_ACCMLTD_WRTFFS,NEVS_RCGNTN_STTS
,0,0,6,,C_CN0290,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_10,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,,0,6,,C_CN0470a,22500.00,2019-09-25,2019-09-25,8,2,23,CINSTR_10a,0,0,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,14,,C_CN0470b,54.73,2018-11-11,2018-11-11,8,,23,CINSTR_11,0,,,0,,,,,0,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,C_CN0520,99214.58,2019-03-28,2019-03-28,8,2,23,CINSTR_11a,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
,0,0,14,,C_CN0530,2860897.67,2019-02-28,2019-02-28,8,2,23,CINSTR_12,0,,,0,,,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,10,,C_CN0551a,1134.31,,2014-12-01,8,2,23,CINSTR_13,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,4,,C_CN0551b,514822.62,,2008-11-11,8,2,23,CINSTR_14,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,14,,C_CN0620,2963356.79,,2008-11-11,8,2,23,CINSTR_15,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,14,,C_CN0702app,,,2008-11-11,8,2,23,CINSTR_16,0,,,0,0,-5,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,14,,C_CN0702notreq,,,2008-11-11,8,2,23,CINSTR_17,0,,,0,-5,-5,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,14,,C_CN0801,3089.41,,2008-11-11,8,2,23,CINSTR_18,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,14,,C_CN0805,27678.22,,2008-11-11,8,2,23,CINSTR_19,0,,,0,,-5,,,,,,0,,2,11,,1,1,EEAS_OA35,2019-06-30,,,
,0,0,6,,C_CN0804,22500.00,2019-09-30,2019-09-30,8,2,23,CINSTR_20,0,,,0,,,,,,,,,,2,11,0.00,1,1,EEAS_OA35,2019-06-30,,,
