ENTTY_RIAD_CD,VLD_FRM,VLD_T,DT_LGL_PRCDNG_STTS,LGL_PRCDNG_STTS
DESPV092384,2016-01-01,2262-04-11,2016-01-01,1
DEB432O,2017-11-27,2262-04-11,2017-11-27,1
EEAS_OA32,2016-01-01,2262-04-11,2016-01-01,0
EEAS_ENT02,2016-01-01,2262-04-11,2016-01-01,0
EEAS_ENT03,2016-01-01,2262-04-11,2016-01-01,0
EEAS_ENT04,2016-01-01,2262-04-11,2016-01-01,0
EEAS_ENT06,2016-01-01,2262-04-11,2016-01-01,0
EEAS_ENT19,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_8,2016-01-01,2262-04-11,2016-01-01,0
DEBA32568564,2017-11-27,2262-04-11,2017-11-27,1
ITTS_ENT_61,2016-01-01,2262-04-11,2016-01-01,0
CZ11111112,2016-10-31,2262-04-11,2016-10-31,1
EEAS_OA30,2016-01-01,2262-04-11,2016-01-01,0
EEAS_OA31,2016-01-01,2262-04-11,2016-01-01,0
EEAS_ENT05,2016-01-01,2262-04-11,2016-01-01,0
EEAS_ENT01,2016-01-01,2262-04-11,2016-01-01,0
EEAS_ENT20,2016-01-01,2262-04-11,2016-01-01,0
LV40003817773,2006-04-10,2262-04-11,2006-04-10,1
DEBL1T9,2017-11-27,2262-04-11,2017-11-27,1
ITTS_ENT_6,2016-01-01,2262-04-11,2016-01-01,0
ITTS_ENT_7,2016-01-01,2262-04-11,2016-01-01,0
DEP8293X307,2017-11-27,2262-04-11,2017-11-27,1
EEAS_ENT18,2016-01-01,2262-04-11,2016-01-01,0
EEAS_ENT17,2016-01-01,2262-04-11,2016-01-01,0
EEAS_ENT16,2016-01-01,2262-04-11,2016-01-01,0
FR307615757,1901-01-01,2262-04-11,1901-01-01,1
EEAS_ENT07,2016-01-01,2262-04-11,2016-01-01,0
DEB5DXO,2017-11-27,2262-04-11,2017-11-27,1
PL08682,2004-05-04,2262-04-11,2004-05-04,1
DEB4PY7,2017-11-27,2262-04-11,2017-11-27,1
LT301694694,2008-04-22,2262-04-11,2008-04-22,1
LV40003229974,1994-11-24,2262-04-11,1994-11-24,1
ESB66706714,2016-02-04,2262-04-11,2016-02-04,3
AT0000073932459,2006-04-01,2262-04-11,2006-04-01,1
FR433378981,2000-11-02,2262-04-11,2000-11-02,1
LUKEUFBDHF3988,1904-02-29,2262-04-11,1904-02-29,0
DEAKENT,2018-11-30,2262-04-11,2018-11-30,1
