CNTRPRTY_EXTRNL_ID,CNTRPRTY_ID,DT_RFRNC,TYP_CNTRPRTY_EXTRNL_ID
"63829150","63829150","2018-09-30","RIAD code"
"78451209","78451209","2018-09-30","RIAD code"
"BLZ10","BLZ10","2018-09-30","RIAD code"
"63829150","63829150","2018-10-31","RIAD code"
"78451209","78451209","2018-10-31","RIAD code"
"BLZ10","BLZ10","2018-10-31","RIAD code"
"63829150","63829150","2018-11-30","RIAD code"
"78451209","78451209","2018-11-30","RIAD code"
"BLZ10","BLZ10","2018-11-30","RIAD code"
"63829150","63829150","2018-12-31","RIAD code"
"78451209","78451209","2018-12-31","RIAD code"
"BLZ10","BLZ10","2018-12-31","RIAD code"
