ACCNTNG_FRMWRK_SL,ANNL_TRNVR,APPRCH_PRDNTL_PRPSS,BLNC_SHT_TTL,CHRCTRSTCS_CRDT_RSK,CNTRL_PBLC_BDS,CNTRPRTY_ID,CNTRY,CRDT_QLTY_STTS,CTY,DT_DFLT_STTS,DT_ENTRPRS_SZ,DT_INTTN_LGL_PRCDNGS,DT_RFRNC,DT_STTS,ECNMC_ACTVTY,ENTRPRS_SZ_CHC,ENTRPRS_SZ_INPT,EQTY,EXCPTN_MRG_ACQSTN,EXTRNL_CRDT_ASSSSMNT,HD_OFFC_UNDRT_ID_STRNG,IMMDT_PRNT_UNDRT_ID_STRNG,INSTTTNL_SCTR,INSTTTNL_SCTR_CNTRL,INTRNTNL_ORGNSTN,IS_CNTRL_GVRNMNT_TRTD_LG,IS_CNTRL_GVRNMNT_TRTD_PS,IS_LCL_GVRNMNT_TRTD_PS,IS_PLLNG_EFFCT,IS_RPRTNG_ANCRDT,IS_SM_PRTCTN_SCHM,LEI,LGL_FRM,LGL_PRCDNG_STTS,NM_ENTTY,NMBR_EMPLYS,NTNL_ID,PD,PR_LSS,PRSPCTV_ID,PSTL_CD,STRT,STTS,TRRTRL_UNT,TT_ASST_INVST,TYP_ENTRPRS,ULTMT_PRNT_UNDRT_ID_STRNG
2,,66,,,,BLZ10,DE,11,Frankfur am Main ,,,,2018-09-30,,64_1,1,,0,,,,,S122_A_1,2,,,,,,T,,5299000000000000AA00,DE201,,Deutsche Grossbank AG ,,HRB0001-R0001,,0,BLZ10IRB,DE-60313,Hochstrasse 29,,DE712,0,0,
2,16547890.00,,7000000,,,63829150,DE,11,Marburg,,,,2018-09-30,2017-11-16,23_32,1,2,0,,,63829150,78451209,S11,2,,,,,,T,,,DE206,1,Krueger Bau GmbH,80,HRB1234-R1101,0.0335,0,BLZ10IRB,DE-60999,Sterr NameStrasse ,,DE724,0,0,78451209
2,31452130,,12505060,,,78451209,DE,11,Frankfur am Main ,,,,2018-09-30,2017-11-16,23_32,1,2,0,,,78451209,78451209,S11,2,,,,,,T,,,DE206,0,Grossbau GmbH,127,HRB1234-R7707,0.0175,0,BLZ10IRB,DE-61213,Alley NameAllee ,,DE712,0,0,78451209
2,,66,,,,BLZ10,DE,11,Frankfur am Main ,,,,2018-10-31,,64_1,1,,0,,,,,S122_A_1,2,,,,,,T,,5299000000000000AA00,DE201,,Deutsche Grossbank AG ,,HRB0001-R0001,,0,BLZ10IRB,DE-60313,Hochstrasse 29,,DE712,0,0,
2,16547890.00,,7000000,,,63829150,DE,11,Marburg,,,,2018-10-31,2017-11-16,23_32,1,2,0,,,63829150,78451209,S11,2,,,,,,T,,,DE206,1,Krueger Bau GmbH,80,HRB1234-R1101,0.0335,0,BLZ10IRB,DE-60999,Sterr NameStrasse ,,DE724,0,0,78451209
2,31452130,,12505060,,,78451209,DE,11,Frankfur am Main ,,,,2018-10-31,2017-11-16,23_32,1,2,0,,,78451209,78451209,S11,2,,,,,,T,,,DE206,0,Grossbau GmbH,127,HRB1234-R7707,0.0175,0,BLZ10IRB,DE-61213,Alley NameAllee ,,DE712,0,0,78451209
2,,66,,,,BLZ10,DE,11,Frankfur am Main ,,,,2018-11-30,,64_1,1,,0,,,,,S122_A_1,2,,,,,,T,,5299000000000000AA00,DE201,,Deutsche Grossbank AG ,,HRB0001-R0001,,0,BLZ10IRB,DE-60313,Hochstrasse 29,,DE712,0,0,
2,16547890.00,,7000000,,,63829150,DE,11,Marburg,,,,2018-11-30,2017-11-16,23_32,1,2,0,,,63829150,78451209,S11,2,,,,,,T,,,DE206,1,Krueger Bau GmbH,80,HRB1234-R1101,0.0335,0,BLZ10IRB,DE-60999,Sterr NameStrasse ,,DE724,0,0,78451209
2,31452130,,12505060,,,78451209,DE,11,Frankfur am Main ,,,,2018-11-30,2017-11-16,23_32,1,2,0,,,78451209,78451209,S11,2,,,,,,T,,,DE206,0,Grossbau GmbH,127,HRB1234-R7707,0.0175,0,BLZ10IRB,DE-61213,Alley NameAllee ,,DE712,0,0,78451209
2,,66,,,,BLZ10,DE,11,Frankfur am Main ,,,,2018-12-31,,64_1,1,,0,,,,,S122_A_1,2,,,,,,T,,5299000000000000AA00,DE201,,Deutsche Grossbank AG ,,HRB0001-R0001,,0,BLZ10IRB,DE-60313,Hochstrasse 29,,DE712,0,0,
2,16547890.00,,7000000,,,63829150,DE,11,Marburg,,,,2018-12-31,2017-11-16,23_32,1,2,0,,,63829150,78451209,S11,2,,,,,,T,,,DE206,1,Krueger Bau GmbH,80,HRB1234-R1101,0.0335,0,BLZ10IRB,DE-60999,Sterr NameStrasse ,,DE724,0,0,78451209
2,31452130,,12505060,,,78451209,DE,11,Frankfur am Main ,,,,2018-12-31,2017-11-16,23_32,1,2,0,,,78451209,78451209,S11,2,,,,,,T,,,DE206,0,Grossbau GmbH,127,HRB1234-R7707,0.0175,0,BLZ10IRB,DE-61213,Alley NameAllee ,,DE712,0,0,78451209
