"contract_id","OBS_VALUE","stock_exchange_id","mic","ticker_id","contract_type","instrument_id","contract_name","contract_size_description","base_currency","contract_size","settlement_currency"
"id0","DIVR6","CSE","KA0YU","40HYX","T","O","52KZ0","LYRK9","YUD","W2QNL","PGK"
"id1","5I528","YRSE","R8J56","IJ79G","I","O","X01YC","7OH0J","WST","C75WZ","XBB"
"id2","MA0PZ","FUTOP","ZBCIC","BJ96Q","D","","SF0D0","RWWSZ","GNS","NJP0D","KPW"
"id3","YM2KW","PCX","J2SQ7","453EX","3","","OVGGT","PT2TM","YUD","LCPA8","AZM"
"id4","7ZLXS","KLCE","6UM92","8SFAZ","I","","OQ0D8","E84GT","AON","HFG2P","UGS"
"id5","XHOYT","ZCE","EGNZW","8NV2R","A","","QCEMB","1R70W","COU","HZKFM","NGN"
"id6","B92CE","NFX","PV05M","II821","3","","DNQPK","SWXO8","DDM","AQY3U","UYP"
"id7","U5SG1","OMX","OM1UM","1UPGD","I","","7484K","KOON8","CSD","TQWQE","SEK"
"id8","C67RT","NCDEX","QMMPT","X5BGA","I","","R5Y9I","3SDJ6","AFA","XKD1B","NGN"
"id9","T40B7","APEX","QVT3A","XSWGI","2","","BS4OV","T2QDP","MNT","VU54E","GHP"
"id10","815US","MDCE","WFE7I","7FOPL","E","","UC7YS","V1TPY","X10","X3RD5","LUF"
"id11","SOZJL","YIELDX","BVDHM","ZAV0P","1","","OWRPC","MOQBT","RON","XCBVU","XAF"
"id12","2YUM9","MGE","CLAWY","VJT8V","X","T","QL8CJ","F1VQ6","GNS","QH0US","FKP"
"id13","6T2Q2","PSE","NS4T5","7TEPS","X","T","MAJLJ","NTM6D","SRD","393V0","VES"
"id14","UZ3O4","MDCE","AH9CA","PTEWN","X","T","Q7W2E","7PPYG","ZMK","RSEDG","BTN"
"id15","LSGIC","ICE","9DJ7I","FYLV3","X","O","UI3WK","P63RF","AOR","QOU0F","GIP"
"id16","9SGA1","ROFEX","9RXD8","64R4J","E","","XKSQ7","JQTK5","GQE","EIQLQ","AOR"
"id17","RRXAA","INX","9NW50","YRMR0","I","F","2E2FL","78BLD","CNX","F2GF3","MZN"
"id18","OYW4S","SGX-ASIACLEAR","RDVJI","8JZL8","X","T","2E2LG","PEO6Z","BUK","NG9U6","KZT"
"id19","A04BH","NAGOYA","6Y2I4","3WMHE","S","","6UJ8R","XG6QB","PES","NBHJH","KZT"
"id20","Q2WKL","OME","K0AW3","R6BZE","P","F","WLSBE","QHVCS","SLL","OX2I0","BUK"
"id21","E7RLI","OMIP","FUQ39","FN8E6","R","T","STKKD","T88U7","GHC","AHUAZ","BOV"
"id22","YHD4P","KOFEX","7B0WQ","DS11R","P","T","LHR02","CH3WU","AUD","F181R","BMD"
"id23","XVZX0","OMLX","107D6","9HL3E","3","","QS6CY","L70D9","UYU","XQO8T","GIP"
"id24","SKL6T","ENX-FR","JTLR0","2X3Q5","3","","5ZERE","DS8QY","GIP","3150B","DOP"
"id25","BYRPX","OME","6UQCQ","XID0Y","S","","6PNG9","J61HP","TJS","JDHFT","ZMK"
"id26","GI4ZQ","NCDEX","61D6X","UMAY3","O","","1E96S","RKG9G","SVC","U3559","HNL"
"id27","JKD98","BEIJING","TQA7E","PAMLP","P","O","9HNIC","EHBID","TRY","AJK19","CHC"
"id28","54FM9","ENX-BE","130XH","DUACQ","P","F","F17TE","DXLPK","X02","SEH5G","ZRN"
"id29","9N4VV","ENX-NL","GTVWX","HQZCO","N","","LXJHQ","8CCBD","GWP","HNKH0","TMM"
"id30","VI383","TFX","4BZ37","2WK54","P","T","OM52M","JKS5A","XDR","1MTZT","VES"
"id31","19GC4","BM_F","AO5FP","7UAKZ","1","O","7C5FW","LZFCN","MDL","CBHR0","CNX"
"id32","5L36I","KCE","VWNK5","2NIPX","I","","4EB8H","E8DC1","SZL","SFYP1","TTD"
"id33","Y8DZ8","KRE","7UHVZ","2LXBX","A","T","3TCFU","408D5","AON","CTBME","BOV"
"id34","JL1X1","TASE","2LZPV","N4SPY","D","","DHKB8","5ZZ12","BRC","15ULU","CYP"
"id35","CN436","TOCOM","FJVAA","VUO7O","X","F","6QO9P","OCEVL","BMD","T7OQ2","FRF"
"id36","JHNZF","OTOB","NMOJL","9TXLF","3","F","OTN2I","CUTSE","GNE","MI9BE","AOR"
"id37","33Q6T","ENX-NL","W0USJ","BYGSJ","X","","AYPGK","CYQLT","PAB","5KWH9","ARY"
"id38","3SB7P","ODE","OFDEZ","R936Q","1","O","BZZP6","Y0AVD","LSM","QC2TX","AOK"
"id39","UKWBY","PXE","0IA6M","19V4U","P","O","0T4HO","4R283","XTS","0PVQQ","GHS"
