Id_1,Id_2,Id_3,ruleid,Me_1,Me_2,Me_3,Me_4,bool_var,errorcode,errorlevel
code_1,1,1,1,code_1,1.0,1,code_1,True,,
code_1,2,1,1,code_1,2.0,2,code_1,True,,
code_1,2,2,1,code_1,1.0,1,code_2,False,CN0630,3.0
code_1,3,3,1,code_2,,1,,,,
code_2,2,2,1,,2.0,2,code_2,False,CN0630,3.0
code_1,1,1,2,code_1,1.0,1,code_1,True,,
code_1,2,1,2,code_1,2.0,2,code_1,True,,
code_1,2,2,2,code_1,1.0,1,code_2,False,CN0816,3.0
code_1,3,3,2,code_2,,1,,False,CN0816,3.0
code_2,2,2,2,,2.0,2,code_2,True,,
code_1,1,1,3,code_1,1.0,1,code_1,True,,
code_1,2,1,3,code_1,2.0,2,code_1,True,,
code_1,2,2,3,code_1,1.0,1,code_2,True,,
code_1,3,3,3,code_2,,1,,True,,
code_2,2,2,3,,2.0,2,code_2,True,,
