CNTRCT_ID,DT_RFRNC,ENTTY_RIAD_CD,INSTRMNT_ID,OBSRVD_AGNT_CD,bool_var,imbalance,errorcode,errorlevel
1D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_greater,AT_Bank,False,,CN0330,3.0
2D_ONA_0,2019-06-30,EEAS_OA25,JLA_null_1,AT_Bank,False,,CN0330,3.0
2D_ONA_OK,2019-06-30,EEAS_OA25,JLA_null_1,AT_Bank,False,,CN0330,3.0
2D_ONA_0,2019-06-30,EEAS_OA25,JLA_0_1,AT_Bank,False,,CN0330,3.0
2D_ONA_OK,2019-06-30,EEAS_OA25,JLA_0_1,AT_Bank,False,,CN0330,3.0
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_greater_1,AT_Bank,False,,CN0330,3.0
3D_ONA_0,2019-06-30,AL0ECBM00067,JLA_0_all,AT_Bank,False,,CN0330,3.0
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_0_all,AT_Bank,False,,CN0330,3.0
3D_ONA_OK,2019-06-30,AL0ECBM00067,JLA_greater_all,AT_Bank,False,,CN0330,3.0
3D_ONA_OK,2019-06-30,EEAS_OA25,JLA_greater_all,AT_Bank,False,,CN0330,3.0
