TIME_PERIOD,FREQ,contract_id,O,V
2018-12-01,M,id0,3162,9481
2018-12-01,M,id1,8524,4235
2018-12-01,M,id2,4070,7871
2018-12-01,M,id3,3267,9779
2018-12-01,M,id4,1189,3669
2018-12-01,M,id5,7941,9264
2018-12-01,M,id6,3510,9661
2018-12-01,M,id7,2,1476
2018-12-01,M,id8,7002,113
2018-12-01,M,id9,5,4594
2018-12-01,M,id10,3450,854
2018-12-01,M,id11,8,2246
2018-12-01,M,id12,8,910
2018-12-01,M,id13,4,3873
2018-12-01,M,id14,6,6345
2018-12-01,M,id15,6326,3409
2018-12-01,M,id16,4040,7293
2018-12-01,M,id17,6093,5454
2018-12-01,M,id18,9368,8918
2018-12-01,M,id19,4567,6880
2018-12-01,M,id20,7502,38
2018-12-01,M,id21,1941,1353
2018-12-01,M,id22,785,6063
2018-12-01,M,id23,4044,6096
2018-12-01,M,id24,992,8978
2018-12-01,M,id25,2166,9357
2018-12-01,M,id26,2754,7186
2018-12-01,M,id27,4526,2136
2018-12-01,M,id28,7145,5623
2018-12-01,M,id29,3091,2835
2018-12-01,M,id30,6665,3212
2018-12-01,M,id31,789,7520
2018-11-01,M,id0,3232,6260
2018-11-01,M,id1,4497,4055
2018-11-01,M,id2,3768,4221
2018-11-01,M,id3,8737,3864
2018-11-01,M,id4,2612,6704
2018-11-01,M,id5,6587,3095
2018-11-01,M,id6,2172,452
2018-11-01,M,id7,9226,4941
2018-11-01,M,id8,4093,6199
2018-11-01,M,id9,816,9481
2018-11-01,M,id10,4094,5301
2018-11-01,M,id11,9995,7371
2018-11-01,M,id12,3448,1554
2018-11-01,M,id13,248,3749
2018-11-01,M,id14,6842,7270
2018-11-01,M,id15,865,3069
2018-11-01,M,id16,8600,2777
2018-11-01,M,id17,9734,6998
2018-11-01,M,id18,5547,9802
2018-11-01,M,id19,178,7435
2018-11-01,M,id20,3004,5417
2018-11-01,M,id21,8369,4774
2018-11-01,M,id22,9449,2326
2018-11-01,M,id23,8833,705
2018-11-01,M,id24,8531,1588
2018-11-01,M,id25,1623,277
2018-11-01,M,id26,6912,6642
2018-11-01,M,id27,7398,4820
2018-11-01,M,id28,4886,9203
2018-11-01,M,id29,5568,1365
2018-11-01,M,id30,9399,1440
2018-11-01,M,id31,2949,6373
2018-10-01,M,id0,8549,2035
2018-10-01,M,id1,3205,8060
2018-10-01,M,id2,2993,3300
2018-10-01,M,id3,331,8146
2018-10-01,M,id4,6543,7403
2018-10-01,M,id5,6853,3032
2018-10-01,M,id6,1383,1288
2018-10-01,M,id7,9231,2886
2018-10-01,M,id8,9735,7624
2018-10-01,M,id9,6365,7943
2018-10-01,M,id10,6354,7886
2018-10-01,M,id11,9419,768
2018-10-01,M,id12,3029,9457
2018-10-01,M,id13,8171,9873
2018-10-01,M,id14,267,8228
2018-10-01,M,id15,883,3550
2018-10-01,M,id16,2284,562
2018-10-01,M,id17,1732,1545
2018-10-01,M,id18,4889,9627
2018-10-01,M,id19,9772,8379
2018-10-01,M,id20,8859,698
2018-10-01,M,id21,1010,8701
2018-10-01,M,id22,4776,5593
2018-10-01,M,id23,849,2229
2018-10-01,M,id24,197,7587
2018-10-01,M,id25,9857,2014
2018-10-01,M,id26,6784,5880
2018-10-01,M,id27,3403,4830
2018-10-01,M,id28,7721,6303
2018-10-01,M,id29,4910,4615
2018-10-01,M,id30,9405,9941
2018-10-01,M,id31,4211,9776
2018-09-01,M,id0,9661,2049
2018-09-01,M,id1,5195,3357
2018-09-01,M,id2,3760,8451
2018-09-01,M,id3,922,6873
2018-09-01,M,id4,1384,4497
2018-09-01,M,id5,7710,3699
2018-09-01,M,id6,2586,1548
2018-09-01,M,id7,2622,5054
2018-09-01,M,id8,1253,1469
2018-09-01,M,id9,6676,3322
2018-09-01,M,id10,3425,1325
2018-09-01,M,id11,1361,813
2018-09-01,M,id12,1248,3422
2018-09-01,M,id13,1266,7553
2018-09-01,M,id14,8642,5859
2018-09-01,M,id15,3156,7120
2018-09-01,M,id16,2863,142
2018-09-01,M,id17,582,8562
2018-09-01,M,id18,6383,2210
2018-09-01,M,id19,8544,5157
2018-09-01,M,id20,4572,5676
2018-09-01,M,id21,3940,9531
2018-09-01,M,id22,5245,2541
2018-09-01,M,id23,1339,6419
2018-09-01,M,id24,5225,6169
2018-09-01,M,id25,7245,4796
2018-09-01,M,id26,3410,8609
2018-09-01,M,id27,7991,6439
2018-09-01,M,id28,1526,8070
2018-09-01,M,id29,4117,8748
