ENTTY_RIAD_CD,VLD_FRM,VLD_T,INSTTTNL_SCTR,DT_LGL_PRCDNG_STTS,LGL_PRCDNG_STTS
DESPV092384,2016-01-01,2262-04-11,S125,2016-01-01,1
DEB432O,2016-01-01,2262-04-11,S11,,
EEAS_OA32,2016-01-01,2262-04-11,S122,2016-01-01,0
EEAS_ENT02,2016-01-01,2262-04-11,S125,2016-01-01,0
EEAS_ENT03,2016-01-01,2262-04-11,S125,2016-01-01,0
EEAS_ENT04,2016-01-01,2262-04-11,S125,2016-01-01,0
EEAS_ENT06,2016-01-01,2262-04-11,S125,2016-01-01,0
EEAS_ENT19,2016-01-01,2262-04-11,S125,2016-01-01,0
ITTS_ENT_8,2016-01-01,2262-04-11,S122,2016-01-01,0
DEBA32568564,2016-01-01,2262-04-11,S122,,
ITTS_ENT_61,2016-01-01,2262-04-11,S122,2016-01-01,0
CZ11111112,2017-12-31,2262-04-11,S124,,
EEAS_OA30,2016-01-01,2262-04-11,S122,2016-01-01,0
EEAS_OA31,2016-01-01,2262-04-11,S122,2016-01-01,0
EEAS_ENT05,2016-01-01,2262-04-11,S125,2016-01-01,0
EEAS_ENT01,2016-01-01,2262-04-11,S125,2016-01-01,0
EEAS_ENT20,2016-01-01,2262-04-11,S125,2016-01-01,0
LV40003817773,2017-09-07,2262-04-11,S125,,
DEBL1T9,2016-01-01,2262-04-11,S11,,
ITTS_ENT_6,2016-01-01,2262-04-11,S122,2016-01-01,0
ITTS_ENT_7,2016-01-01,2262-04-11,S122,2016-01-01,0
DEP8293X307,2016-01-01,2262-04-11,S11,,
EEAS_ENT18,2016-01-01,2262-04-11,S125,2016-01-01,0
EEAS_ENT17,2016-01-01,2262-04-11,S125,2016-01-01,0
EEAS_ENT16,2016-01-01,2262-04-11,S125,2016-01-01,0
FR307615757,2014-07-01,2262-04-11,S11,,
EEAS_ENT07,2016-01-01,2262-04-11,S125,2016-01-01,0
DEB5DXO,2016-01-01,2262-04-11,S11,,
PL08682,1893-05-15,2262-04-11,S122,,
DEB4PY7,2016-01-01,2262-04-11,S11,,
LT301694694,2008-04-22,2262-04-11,S122,2008-04-22,1
LV40003229974,1994-11-24,2262-04-11,S11,1994-11-24,1
AT0000073932459,2006-04-01,2262-04-11,S11,2006-04-01,1
FR433378981,2000-11-02,2262-04-11,S11,2000-11-02,1
DEAKENT,2018-11-30,2262-04-11,S11,2018-11-30,1
