ISIN,TimePeriod,ruleid,CapitalListed,High,Interest,IssuerID,LastRate,Low,MarketCap,MaturityDate,Name,OpeningPrice,SecurityID,SecurityType,Symbol,Transactions,Turnover,Volume,bool_var,errorcode,errorlevel
IL0011016669,2024-02-04,r1,117050189.0,330.0,,1397,328.4,325.0,384393.0,,ABRA,326.0,1101666,,ABRA,21.0,21.37,6506.0,True,,
IL0007700169,2024-02-04,r1,143959191.0,67.6,,770,67.0,66.0,96453.0,,ACCEL,67.6,770016,Shares,ACCL,37.0,25.87,38604.0,True,,
IL0077003478,2024-02-04,r1,2000000.0,3.0,,770,1.9,3.0,38.0,,ACCEL       W10,1.6,7700347, Warrant,ACCL.W10,1.0,0.07,2300.0,True,,
IL0011762056,2024-02-04,r1,287510000.0,492.3,,1896,473.0,473.0,1359922.0,,ACKERSTEIN GRP.,490.0,1176205,Shares,ACKR,194.0,2158.49,451490.0,True,,
IL0011885725,2024-02-04,r1,700000000.0,97.27,4.53,2360,97.22,97.06,680540.0,2027-12-31,ACRO     B1,97.27,1188572,Bonds,ACRO.B1,95.0,479.51,493249.0,True,,
IL0011849028,2024-02-04,r1,61158929.0,4082.0,,2360,3961.0,3925.0,2422505.0,,ACRO KVUT,4049.0,1184902,Shares,ACRO,324.0,2468.33,62088.0,True,,
IL0011109159,2024-02-04,r1,2903986790.0,152.99,5.15,1063,152.98,152.41,4442519.0,2036-11-30,ADAMA .B2,152.75,1110915,Bonds,ADAMA.B2,171.0,2917.19,1909381.0,True,,
IL0018201900,2024-02-04,r1,286648800.0,114.45,4.65,182,114.19,114.1,327324.0,2025-07-01,ADGAR        B9,114.45,1820190,Bonds,ADGR.B9,68.0,153.63,134539.0,True,,
IL0018202080,2024-02-04,r1,542980800.0,113.69,2.85,182,113.66,113.51,617152.0,2027-09-01,ADGAR       B10,113.63,1820208,Bonds,ADGR.B10,95.0,355.33,312689.0,True,,
IL0018202817,2024-02-04,r1,511750000.0,106.81,2.45,182,106.77,106.45,546395.0,2030-03-31,ADGAR       B11,106.45,1820281,Bonds,ADGR.B11,87.0,445.74,417880.0,True,,
IL0018203310,2024-02-04,r1,625000000.0,92.09,0.43,182,91.71,91.6,573188.0,2031-03-31,ADGAR     B12,91.87,1820331,Bonds,ADGR.B12,84.0,1223.76,1335505.0,True,,
