ENTTY_RIAD_CD,VLD_FRM,VLD_T,INSTTTNL_SCTR
AL0ECBM00067,2009-05-31,9999-12-31,S125
AT_Bank,2016-01-01,9999-12-31,S122
EEAS_OA25,2016-01-01,9999-12-31,S122
EEAS_OA30,2016-01-01,9999-12-31,S122
FIAS_OA_BRA,2016-01-01,9999-12-31,S122
ITTS_ENT_40,2016-01-01,9999-12-31,S122
ITTS_ENT_41,2016-01-01,9999-12-31,S122
ITTS_ENT_42,2016-01-01,9999-12-31,S122
ITTS_ENT_43,2016-01-01,9999-12-31,S122
ITTS_ENT_49,2016-01-01,9999-12-31,S122
ITTS_ENT_60,2016-01-01,9999-12-31,S122
ITTS_ENT_61,2016-01-01,9999-12-31,S122
ITTS_ENT_62,2016-01-01,9999-12-31,S122
ITTS_ENT_63,2016-01-01,9999-12-31,S122
LVAS_OA_BRA,2016-01-01,9999-12-31,S122
