ENTTY_RIAD_CD,VLD_FRM,VLD_T,INSTTTNL_SCTR,LGL_FRM,HD_QRTR_CD,SSMSIGNIFICANCE,DT_LGL_PRCDNG_STTS,LGL_PRCDNG_STTS,DT_ENTRPRS_SZ,ENTRPRS_SZ,BLNC_SHT_TTL_CRRNCY,ANNL_TRNVR_CRRNCY,NMBR_EMPLYS,IMMDT_PRNT_CD,ULTMT_PRNT_CD,LEI,NM_ENTTY,STRT,CTY,PSTL_CD,ECNMC_ACTVTY,ACCNTNG_FRMWRK_SL,CNTRY,HD_QRTR_CNTRY
AL0ECBM00067,2009-05-30,2262-04-11,S125,,,,2009-05-31,1,,,,,,,,,,"""Deshmoret e 4 Shkurtit, Godina nr. 6, Kati II""",Tirane,Tirane,-99,,AL,
AT_Bank,2016-01-01,2262-04-11,S122,,,,,,,,,,,,,,AT_Bank,,,,,,AT,
EEAS_OA25,2016-01-01,2262-04-11,S122,EE206,,,2016-01-01,0,2016-01-01,1,10000.0,1000.0,10.0,,,,Name of AS_OA25,Street,City1,City1,64,,EE,
EEAS_OA30,2016-01-01,2262-04-11,S122,EE206,,,2016-01-01,0,2016-01-01,1,10000.0,1000.0,10.0,,,,Name of AS_OA30,Street,City1,City1,64,3,EE,
FIAS_OA_BRA,2016-01-01,2262-04-11,S122,FI99,EEAS_OA30,,,,,,,,10.0,,,,Name of AS_OA_BRA,Street,City,City,64,,FI,EE
ITTS_ENT_40,2016-01-01,2262-04-11,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Street,City,City,64,,IT,
ITTS_ENT_41,2016-01-01,2262-04-11,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Street,City,City,64,,IT,
ITTS_ENT_42,2016-01-01,2262-04-11,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Street,City,City,64,,IT,
ITTS_ENT_43,2016-01-01,2262-04-11,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Street,City,City,64,,IT,
ITTS_ENT_49,2016-01-01,2262-04-11,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Street,City,City,64,,IT,
ITTS_ENT_60,2016-01-01,2262-04-11,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Street,City,City,64,,IT,
ITTS_ENT_61,2016-01-01,2262-04-11,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Street,City,City,64,,IT,
ITTS_ENT_62,2016-01-01,2262-04-11,S122,IT999,,,2016-01-01,0,2016-01-01,1,10000.0,1001.0,10.0,,,,,Street,City,City,64,,IT,
