DATAFLOW,FREQ,BIS_TOPIC,REF_AREA,BIS_SUFFIX,TIME_PERIOD,OBS_VALUE,AGG_EQUN,AVAILABILITY,BIS_DOC_DATE,BIS_UNIT,BREAKS,COLLECTION,COLLECTION_DETAIL,COMPILATION,COVERAGE,DECIMALS,DOM_SER_IDS,METHOD_REF,NAT_TITLE,OBS_COM,OBS_CONF,OBS_PRE_BREAK,OBS_STATUS,REP_DELAY,SOURCE_REF,TIME_FORMAT,TITLE,TITLE_COMPL,UNIT_DETAIL,UNIT_MULT
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,1992,2.2752,,B,,EUR,,E,,,,2,,,,,N,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,1993,2.4547,,B,,EUR,,E,,,,2,,,,,N,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,1994,2.3959,,B,,EUR,,E,,,,2,,,,,N,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,1995,1.2723,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,1996,1.7762,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,1997,1.4898,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,1998,0.9087,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,1999,1.136,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2000,2.6849,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2001,2.428,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2002,1.5499,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2003,1.5134,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2004,1.8699,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2005,2.5301,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2006,2.3225,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2007,1.8205,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2008,4.4932,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2009,-0.0111,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2010,2.3336,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2011,3.3554,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2012,2.6266,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2013,1.249,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2014,0.4853,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2015,0.6239,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2016,1.77,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2017,2.2207,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
BIS:BIS_MACRO(1.0),A,VEBC,BE,2,2018,2.3166,,B,,EUR,,E,,,,2,,,,,F,,A,,,,,,,0
