ACCOUNTING_ENTRY,FUNCTIONAL_CAT,INSTR_ASSET,INT_ACC_ITEM,REF_AREA,REF_SECTOR,OBS_VALUE
C,D,F,G,IT,S1,110.0
D,D,F,G,IT,S1,110.0
N,D,F,G,IT,S1,199.0
A,D,F,G,IT,S1,199.0
C,P,F,G,IT,S1,120.0
D,P,F,G,IT,S1,110.0
N,P,F,G,IT,S1,
L,P,F,G,IT,S1,0.0
A,P,F,G,IT,S1,0.0
D,P,F,G,PT,S1,50.0
A,P,F,G,PT,S1,0.0
N,P,F,G,PT,S1,0.0
D,P,F,G,FR,S1,0.0
N,P,F,G,FR,S1,200.0
A,P,F,G,FR,S1,100.0
L,P,F,G,FR,S1,100.0
C,P,F,G,AT,S1,0.0
D,P,F,G,AT,S1,
N,P,F,G,AT,S1,""
A,P,F,G,AT,S1,
L,P,F,G,AT,S1,200.0
B,D,F,G,IT,S1,100.0
B,P,F,G,IT,S1,10.0
B,P,F,G,AT,S1,
B,P,F,G,PT,S1,-50.0
