DATAFLOW,FREQ,NBB_COICOP,INDEX_BASE,INDEX_TYPE,DERIVATION,REF_AREA,ADJUSTMENT,INSTITUTION,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,UNIT_MEASURE,UNIT_MULT,EMBARGO_TIME,DECIMALS
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-01,108.53,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-02,109.26,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-03,110.52,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-04,112.25,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-05,112.06,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-06,111.5,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-07,111.73,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-08,111.77,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-09,110.21,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-10,110.52,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-11,109.43,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2020-12,108.89,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-01,109.88,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-02,109.03,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-03,109.88,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-04,110.91,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-05,110.29,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-06,110.13,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-07,110.76,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-08,111.39,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-09,109.13,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-10,110.17,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-11,109.69,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2021-12,110.18,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-01,112.49,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-02,113.34,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-03,115.18,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-04,116.79,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-05,117.59,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-06,119.62,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-07,121.52,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-08,122.7,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-09,120.86,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-10,124.4,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-11,126.29,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,1,2013,NCP,INDICES,BE,_Z,BE1,2022-12,126.88,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-01,126.68,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-02,129.27,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-03,128.71,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-04,131.83,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-05,132.78,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-06,128.7,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-07,129.32,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-08,130.75,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-09,131.6,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-10,128.66,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-11,130.62,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2020-12,128.76,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-01,128.95,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-02,133.39,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-03,132.21,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-04,133.92,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-05,136.3,A,F,IX,0,,2
BE2:DF_NICP(1.0),M,2,2013,NCP,INDICES,BE,_Z,BE1,2021-06,131.04,A,F,IX,0,,2
