ADJUSTMENT,DATAFLOW,DERIVATION,FREQ,INDEX_BASE,INDEX_TYPE,INSTITUTION,NBB_COICOP,REF_AREA,TIME_PERIOD,OBS_VALUE
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020A,110.55583254496257
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021A,110.11999956766765
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2022A,119.80499903361003
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2020A,129.80666796366373
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2021A,133.7408332824707
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,2,BE,2022A,140.59333165486655
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2020A,104.7591667175293
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2021A,105.07833353678386
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,3,BE,2022A,106.87416712443034
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2020A,107.47499910990398
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2021A,114.27083333333333
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,4,BE,2022A,143.38249969482422
