ADJUSTMENT,DATAFLOW,FREQ,INDEX_BASE,INDEX_TYPE,INSTITUTION,NBB_COICOP,REF_AREA,TIME_PERIOD,DERIVATION,CURRENT,PREVIOUS,GROWTH
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M1,GROWTH_RATE,108.53,109.88,-1.2286130323989757
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M2,GROWTH_RATE,109.26,109.03,0.2109511143721948
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M3,GROWTH_RATE,110.52,109.88,0.5824535857298877
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M4,GROWTH_RATE,112.25,110.91,1.208186818140838
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M5,GROWTH_RATE,112.06,110.29,1.6048599147701477
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M6,GROWTH_RATE,111.5,110.13,1.2439843820938932
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M7,GROWTH_RATE,111.73,110.76,0.8757674250631986
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M8,GROWTH_RATE,111.77,111.39,0.3411437292396045
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M9,GROWTH_RATE,110.21,109.13,0.9896453770732139
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M10,GROWTH_RATE,110.52,110.17,0.31769084142688053
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M11,GROWTH_RATE,109.43,109.69,-0.23703163460661036
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2020M12,GROWTH_RATE,108.89,110.18,-1.1708113995280507
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M1,GROWTH_RATE,109.88,112.49,-2.320206240554716
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M2,GROWTH_RATE,109.03,113.34,-3.8027174872066367
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M3,GROWTH_RATE,109.88,115.18,-4.601493314811609
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M4,GROWTH_RATE,110.91,116.79,-5.0346776265091275
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M5,GROWTH_RATE,110.29,117.59,-6.208010885279358
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M6,GROWTH_RATE,110.13,119.62,-7.9334559438221115
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M7,GROWTH_RATE,110.76,121.52,-8.854509545753778
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M8,GROWTH_RATE,111.39,122.7,-9.217603911980442
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M9,GROWTH_RATE,109.13,120.86,-9.70544431573722
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M10,GROWTH_RATE,110.17,124.4,-11.438906752411578
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M11,GROWTH_RATE,109.69,126.29,-13.144350304853914
_Z,BE2:DF_NICP(1.0),M,2013,NCP,BE1,1,BE,2021M12,GROWTH_RATE,110.18,126.88,-13.16204287515762
