ADJUSTMENT,DATAFLOW,DERIVATION,FREQ,INDEX_BASE,INDEX_TYPE,INSTITUTION,NBB_COICOP,REF_AREA,TIME_PERIOD,CONF_STATUS,DECIMALS,EMBARGO_TIME,OBS_STATUS,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,FREQ_2
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M1,F,2,,A,108.53,IX,0,True
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M2,F,2,,A,109.26,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M3,F,2,,A,110.52,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M4,F,2,,A,112.25,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M5,F,2,,A,112.06,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M6,F,2,,A,111.5,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M7,F,2,,A,111.73,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M8,F,2,,A,111.77,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M9,F,2,,A,110.21,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M10,F,2,,A,110.52,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M11,F,2,,A,109.43,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2020M12,F,2,,A,108.89,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M1,F,2,,A,109.88,IX,0,True
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M2,F,2,,A,109.03,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M3,F,2,,A,109.88,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M4,F,2,,A,110.91,IX,0,False
_Z,BE2:DF_NICP(1.0),INDICES,M,2013,NCP,BE1,1,BE,2021M5,F,2,,A,110.29,IX,0,False
