ACCRD_INTRST,ANNLSD_AGRD_RT,ARRRS,CNTRCT_ID,DFLT_STTS,DT_DFLT_STTS,DT_NXT_INTRST_RT_RST,DT_PST_D,INSTRMNT_ID,NEVS_ACCRD_INTRST,NEVS_ANNLSD_AGRD_RT,NEVS_ARRRS,NEVS_DFLT_STTS,NEVS_DT_DFLT_STTS,NEVS_DT_NXT_INTRST_RT_RST,NEVS_DT_PST_D,NEVS_OFF_BLNC_SHT_AMNT,NEVS_TRNSFRRD_AMNT,OFF_BLNC_SHT_AMNT,OTSTNDNG_NMNL_AMNT,TRNSFRRD_AMNT,TYP_SCRTSTN,OBSRVD_AGNT_CD,DT_RFRNC,NEVS_TYP_SCRTSTN,NEVS_OTSTNDNG_NMNL_AMNT
0,0.0852,22500,C_CN0541,14,2019-09-25,,2019-09-27,I_CN0541,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_CN0541a,14,2019-09-25,,2019-09-27,I_CN0541a,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0,0,C_DT_STTLMNT,14,2018-11-11,,,I_DT_STTLMNT,,,,,,0,0,0,,,54.73,0,7,EEAS_OA30,2019-09-30,,
520.88,0.0992,0,C_CN0935,14,2019-03-28,,,I_CN0935,,,,,,0,0,,,86306.3,98693.7,0,7,EEAS_OA30,2019-09-30,,
0,0,0,C_CN0940,14,2019-02-28,,,I_CN0940,,,,,,0,0,0,,,2860897.67,0,7,EEAS_OA30,2019-09-30,,
0,0,0,C_DT_PRFRMNG_STTS,14,2014-12-01,,,I_DT_PRFRMNG_STTS,,,,,,0,0,0,,,1134.31,0,7,EEAS_OA30,2019-09-30,,
0,0,0,C_H_CRRYNG_AMNT_INSTRMNT,14,2008-11-11,,,I_H_CRRYNG_AMNT_INSTRMNT,,,,,,0,0,0,,,514822.62,0,7,EEAS_OA30,2019-09-30,,
0,0,0,C_L_CRRYNG_AMNT_INSTRMNT,14,2008-11-11,,,I_L_CRRYNG_AMNT_INSTRMNT,,,,,,0,0,0,,,2963356.79,0,7,EEAS_OA30,2019-09-30,,
0,0,0,CCNTR_16,14,2008-11-11,,,CINSTR_16,,,,,,0,0,0,,,54657.86,0,7,EEAS_OA30,2019-09-30,,
0,0,0,CCNTR_17,14,2008-11-11,,,CINSTR_17,,,,,,0,0,0,,,32464.5,0,7,EEAS_OA30,2019-09-30,,
0,0,0,CCNTR_18,14,2008-11-11,,,CINSTR_18,,,,,,0,0,0,,,3089.41,0,7,EEAS_OA30,2019-09-30,,
0,0,0,CCNTR_19,14,2008-11-11,,,CINSTR_19,,,,,,0,0,0,,,27678.22,0,7,EEAS_OA30,2019-09-30,,
0,3,22500,C_ANNLSD_AGRD_RT,14,2019-09-30,,2019-09-30,I_ANNLSD_AGRD_RT,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,1000000000,C_ARRRS_INSTRMNT,14,2019-09-25,,2019-09-27,I_ARRRS_INSTRMNT,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_PRVSNS_OFF_BLNC_SHT_INSTRMNT,14,2019-09-25,,2019-09-27,I_PRVSNS_OFF_BLNC_SHT_INSTRMNT,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_DT_FRBRNC_STTS,14,2019-09-25,,2019-09-27,I_DT_FRBRNC_STTS,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_IG0010,14,2019-09-25,,2019-09-27,I_IG0010,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_IG0011,14,2019-09-25,,2019-09-27,I_IG0011,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_IG0012,14,2019-09-25,,2019-09-27,I_IG0012,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
0,0.0852,22500,C_IG0090,14,2019-09-25,,2019-09-27,I_IG0090,,,,,,0,,,,2250000,22500,0,7,EEAS_OA30,2019-09-30,,
