ACCNTNG_FRMWRK_SL,ANNL_TRNVR_CRRNCY,BLNC_SHT_TTL_CRRNCY,CNTRCT_ID,CNTRY,CTY,DFLT_STTS,DFLT_STTS_INSTRMNT,DT_DFLT_STTS,DT_ENTRPRS_SZ,DT_LGL_PRCDNG_STTS,DT_RFRNC,ECNMC_ACTVTY,ENTRPRS_SZ,ENTTY_RIAD_CD,HD_QRTR_CD,HD_QRTR_CNTRY,IMMDT_PRNT_CD,INSTRMNT_ID,INSTTTNL_SCTR,LEI,LGL_FRM,LGL_PRCDNG_STTS,NEVS_DFLT_STTS,NEVS_DFLT_STTS_INSTRMNT,NEVS_DT_DFLT_STTS,NEVS_PD,NMBR_EMPLYS,NM_ENTTY,OBSRVD_AGNT_CD,PD,PSTL_CD,SSMSIGNIFICANCE,STRT,ULTMT_PRNT_CD
,,57.0,yWwuMKSUsQ,ocG6KSRdZg,,,ni76FOzdWu,,2018-09-23,,2019-09-30,,,ajQhpojq7w,IOGJCoxYOv,1T9jjO8uCf,NRczGtb_gV,sivPVzfFVn,3Q5Ur2MRJs,,Rbm7SMN6mf,pLXngZIvdW,,,,dP5nuJgYl9,59.0,ct7Up_ZtxT,EEAS_OA35,1,,,,8HvoWcxz2B
6HgmN5Tzp8,11.0,,8V7RnZt5dF,9rTz8aixJK,_tVyRbIPbI,,,,,,2019-09-30,,cJGSrWerh9,3dHc0xUTz3,acfNFrP9BW,oVUcTSKWva,TIXdvGYoI0,_wLNpvHL8_,bODKbFWxAn,tTjDjsA_0M,,Q8bKaus0vK,YhI8AtMjl0,,,,,,EEAS_OA35,1,,6GrQbTbGMn,8QmjlakCMh,dfSy7YwgrX
ntECIrzQws,,,gyjQFFIHQl,aTVvqeUw6F,,,,2088-01-05,,2029-06-12,2019-09-30,,WgHTpEDW5c,5suphUYQ5Q,PpIGJLdfBX,VYEM5u6Yct,gesLLfdlYW,3CFgEcZbgO,UME348N489,diIBq4uOPm,oqrnWNfiQC,,,v4X9FDgoOR,9t2GAp7Mw4,gUEeO7P8d6,84.0,,EEAS_OA35,1,,,Mh1oyonlPf,6wzyLL1aFf
Nld56l0wrP,,,6FvWpBCAUi,5efYs_D4CO,,,lWdN0b66Sp,,,,2019-09-30,,JYkH1ybEfv,orgOB92oJJ,qozelRpCjT,pHUG6Hb8aW,FKKWhRUW7h,I1mnrBuvxZ,lZTngP2lit,,,dWGnlQCu2h,k8q1r89DxF,mJoymJB1Xt,LPDsukVXgp,0hx_dpLW8T,,,EEAS_OA35,1,KFzWgXD2kf,,OGfE8AdJVf,WUVMLejyyD
8KNe9bWLCE,,65.0,pkJO7RYtIQ,OJzIhH9mPE,TTSctZy7ho,,,2001-07-09,2073-07-26,,2019-09-30,,hBASMilJto,7s535vvUmx,sR2tg96Jqt,aIkSybq5d7,cOa5xd3R4a,ZlLvalXvIq,A72SFgCygL,,S7Aub6J0_r,V_O0BA2Q7F,EirwLgPCIW,8NHwC51j4W,erjOLJ7IYx,tbBeKEwTef,,ueTGLYNEUg,EEAS_OA35,1,uNIu4Zc9hU,EjkY0llKJu,,aCXFDu0kui
,,,qlSNlKdVQe,jhM6NB2aY_,zijrElvM2z,,,2011-09-12,1990-09-23,2040-01-07,2019-09-30,1Mi0Kh_JYM,,uDg00y5Ama,yWMKRDhhFD,xs1v5oo0v3,Hj7YAptwjF,YYHGzJmrBn,RvVrH8_Y9h,,,J0Hrnhtb8V,TlcRaLVVp1,37d3P9vl95,,,,,EEAS_OA35,1,izxwIv3p0q,R5c4wduk38,9TWbmYH0VO,p6peU8krRS
,,84.0,KRW6snRE0g,PEePpN4URs,9hCbfo5UJE,1KotKR7h15,aS7JQxNZFp,,,,2019-09-30,2a2fTe8zwN,,N6j3lVwEqV,96ykfWF9wu,ekcbfu8pME,NWMQHPhAqo,sxbA7BNtAJ,,,,,bvHr25uBkX,,,,1.0,,EEAS_OA35,1,IP7qORKZ2Y,,INgitNfI__,ImBnJTcgY4
,43.0,,apPb_VaUSI,tDXnIuK51J,,rVYHOn7OCG,,,,,2019-09-30,4e9zsePa6x,,JqqDhz3bL0,PejJFI4Eb1,7sUWVzsf5A,9r6pGe7Gmq,hdYOXA4CaM,,1UDrwBZNFN,M3O2ULbg8H,,,e1AmWpgZiU,,,100.0,xQ4lExuQKy,EEAS_OA35,1,,,,3ORWugg36D
,8.0,47.0,JEQ_t4XZeI,qQl3onvQso,,JwRlk9sOFz,,,1990-11-17,2080-03-17,2019-09-30,,4ZDzOV7krt,8WEl11Iv8H,dFCw5VQSmn,Fz6mi9VgXt,iJRjJOx22h,1mCUoixLaU,,4HIGwFGjmk,wrcjaz4zfG,,,nLoCfqRRQA,,oVhNag4bwq,,jw1eHao5m2,EEAS_OA35,1,0JzaBkKLa0,,bbV0bIjFgG,JHqdJkPIsj
,,,A5_RXHOKHE,d3dCmasQyX,,,gevvUVhhRn,,,,2019-09-30,,,cXVb43RBY9,47uufVRhlj,beZxKzfNC0,bL94i25jOk,AnrWrPCSKa,4KJaW1lOS6,e47_cRmuxr,SoPY5PqSDT,dnGeqPR84z,npf3Q7saLO,MuxbkE60oE,,cYcvCaHb9g,,ph5ovegsFv,EEAS_OA35,1,7oXOWnbXaY,,yT71Fol8nI,gzirm3IDLd
