ISIN,TimePeriod,LastRate
IL0011016669,2024-02-04,328.4
IL0007700169,2024-02-04,67.0
IL0077003478,2024-02-04,1.9
IL0011762056,2024-02-04,473.0
IL0011885725,2024-02-04,97.22
IL0011849028,2024-02-04,3961.0
IL0011109159,2024-02-04,152.98
IL0018201900,2024-02-04,114.19
IL0018202080,2024-02-04,113.66
IL0018202817,2024-02-04,106.77
IL0018203310,2024-02-04,91.71
IL0018200837,2024-02-04,478.4
IL0003630105,2024-02-04,67.5
IL0011331316,2024-02-04,102.11
IL0005780130,2024-02-04,9605.0
IL0057801685,2024-02-04,110.63
IL0011608788,2024-02-04,94.94
IL0011716284,2024-02-04,110.36
IL0011737645,2024-02-04,92.83
IL0011782922,2024-02-04,98.46
IL0011845307,2024-02-04,96.01
IL0011996035,2024-02-04,105.44
IL0011422313,2024-02-04,112.69
IL0010913544,2024-02-04,15350.0
IL0011426454,2024-02-04,99.6
IL0011628257,2024-02-04,95.21
IL0010979487,2024-02-04,19800.0
IL0001690119,2024-02-04,98.2
IL0011334872,2024-02-04,113.36
IL0011609448,2024-02-04,97.68
IL0011959991,2024-02-04,99.51
IL0010958358,2024-02-04,5950.0
IL0011959819,2024-02-04,102.15
IL0011733768,2024-02-04,30.0
IL0011990335,2024-02-04,12.1
IL0010838568,2024-02-04,416.8
IL0006250125,2024-02-04,1387.0
IL0011398232,2024-02-04,112.52
IL0011587321,2024-02-04,108.89
IL0011587404,2024-02-04,96.96
IL0011918245,2024-02-04,104.93
IL0011918328,2024-02-04,101.13
IL0011014508,2024-02-04,41.1
IL0010996549,2024-02-04,692.5
IL0011689622,2024-02-04,184.7
IL0011368292,2024-02-04,742.3
IL0012016155,2024-02-04,104.2
IL0011785321,2024-02-04,97.6
IL0011852303,2024-02-04,105.16
IL0011892242,2024-02-04,100.07
IL0011691271,2024-02-04,99.63
IL0011839797,2024-02-04,98.14
IL0011972762,2024-02-04,99.0
IL0011972846,2024-02-04,98.23
IL0039003541,2024-02-04,101.84
IL0039003624,2024-02-04,102.53
IL0039004879,2024-02-04,89.13
IL0039004952,2024-02-04,87.62
IL0011894065,2024-02-04,96.73
IL0011894149,2024-02-04,96.61
IL0003900136,2024-02-04,2734.0
IL0038701699,2024-02-04,107.14
IL0038701855,2024-02-04,101.0
IL0003870198,2024-02-04,13460.0
IL0011439242,2024-02-04,99.95
IL0011849366,2024-02-04,624.9
IL0011909178,2024-02-04,103.97
IL0011816431,2024-02-04,33.2
IL0011909251,2024-02-04,1.0
IL0006540129,2024-02-04,1694.0
IL0010943905,2024-02-04,982.7
IL0011435851,2024-02-04,94.9
IL0010922040,2024-02-04,2008.0
IL0010972789,2024-02-04,1855.0
IL0011331498,2024-02-04,115.53
IL0011381147,2024-02-04,98.74
IL0011586091,2024-02-04,104.01
IL0011628661,2024-02-04,84.85
IL0011727828,2024-02-04,97.77
IL0011935157,2024-02-04,96.83
IL0011880445,2024-02-04,99.6
IL0012025552,2024-02-04,102.23
IL0010806136,2024-02-04,3367.0
IL0001800189,2024-02-04,4101.0
IL0010821143,2024-02-04,570.5
IL0011702409,2024-02-04,122.2
IL0010916513,2024-02-04,5888.0
IL0007310183,2024-02-04,7670.0
IL0010852650,2024-02-04,1933.0
IL0013800474,2024-02-04,136.66
IL0013801043,2024-02-04,108.4
NL0015000D84,2024-02-04,6709.0
IL0003660136,2024-02-04,278.2
IL0036601560,2024-02-04,104.5
IL0005870147,2024-02-04,408.5
IL0011356073,2024-02-04,100.0
IL0011577835,2024-02-04,99.27
IL0011994881,2024-02-04,107.21
IL0011989105,2024-02-04,9055.0
IL0003120172,2024-02-04,2529.0
IL0011323156,2024-02-04,5250.0
IL0011323230,2024-02-04,112.68
IL0011323313,2024-02-04,100.33
IL0011401028,2024-02-04,98.18
IL0011829897,2024-02-04,98.73
IL0011995797,2024-02-04,102.8
IL0025101705,2024-02-04,100.9
IL0025102042,2024-02-04,113.83
IL0025102380,2024-02-04,109.78
IL0025102794,2024-02-04,106.62
IL0025103032,2024-02-04,95.1
IL0012018961,2024-02-04,99.45
IL0003130155,2024-02-04,620.0
IL0031303907,2024-02-04,103.13
IL0031304244,2024-02-04,93.28
IL0010961063,2024-02-04,5291.0
IL0010829658,2024-02-04,4140.0
IL0011059073,2024-02-04,282.5
IL0003730194,2024-02-04,1070.0
IL0037305047,2024-02-04,99.94
IL0037305799,2024-02-04,97.4
IL0011935801,2024-02-04,105.03
IL0012034059,2024-02-04,101.6
IL0011766198,2024-02-04,12.4
IL0010805229,2024-02-04,810.0
IL0011581613,2024-02-04,1549.0
IL0011316978,2024-02-04,29.6
IL0011849283,2024-02-04,90.2
IL0006750173,2024-02-04,1308.0
IL0011718181,2024-02-04,1190.0
IL0011717431,2024-02-04,100.54
IL0011965428,2024-02-04,106.02
IL0011009573,2024-02-04,149.1
IL0011332892,2024-02-04,100.03
IL0011404170,2024-02-04,97.76
IL0004130139,2024-02-04,1215.0
IL0004440181,2024-02-04,1536.0
IL0011904534,2024-02-04,103.26
IL0002970106,2024-02-04,59.0
IL0003830184,2024-02-04,61.8
IL0038301557,2024-02-04,11.8
IL0002090152,2024-02-04,1952.0
IL0011955510,2024-02-04,97.57
IL0011955692,2024-02-04,94.35
IL0007150118,2024-02-04,1540.0
IL0071503606,2024-02-04,98.63
IL0071504109,2024-02-04,95.89
IL0071504448,2024-02-04,92.53
IL0071504513,2024-02-04,98.51
IL0011786725,2024-02-04,93.8
IL0011386500,2024-02-04,109.25
IL0011566119,2024-02-04,109.12
IL0011566036,2024-02-04,109.94
IL0011786808,2024-02-04,91.96
IL0011194789,2024-02-04,23930.0
IL0011344368,2024-02-04,110.31
IL0011781510,2024-02-04,96.63
IL0011076630,2024-02-04,1373.0
IL0011836561,2024-02-04,1155.0
IL0011836645,2024-02-04,19.2
IL0011853624,2024-02-04,762.3
IL0002860133,2024-02-04,885.6
IL0011782765,2024-02-04,155.7
IL0010849045,2024-02-04,100.4
IL0025902482,2024-02-04,127.2
IL0025903886,2024-02-04,100.89
IL0025904611,2024-02-04,100.4
IL0025905113,2024-02-04,94.78
IL0025905782,2024-02-04,100.56
IL0011953465,2024-02-04,101.94
IL0010823461,2024-02-04,74.6
IL0010815616,2024-02-04,12150.0
IL0011755613,2024-02-04,17.4
IL0011755878,2024-02-04,52.1
IL0002300114,2024-02-04,483.1
IL0023001766,2024-02-04,99.63
IL0023001840,2024-02-04,112.72
IL0023002343,2024-02-04,95.34
IL0023002426,2024-02-04,107.83
IL0023003093,2024-02-04,81.73
IL0023003176,2024-02-04,88.99
IL0010972607,2024-02-04,36770.0
IL0011360844,2024-02-04,112.2
IL0011511172,2024-02-04,109.84
IL0011562316,2024-02-04,115.09
IL0011615122,2024-02-04,106.77
IL0011622219,2024-02-04,100.0
IL0011684425,2024-02-04,104.3
IL0011684599,2024-02-04,104.37
IL0011410508,2024-02-04,112.06
IL0011595167,2024-02-04,103.39
IL0011810079,2024-02-04,87.46
IL0011742264,2024-02-04,102.28
IL0011861882,2024-02-04,99.07
IL0012022179,2024-02-04,99.38
IL0011389249,2024-02-04,111.42
IL0011722951,2024-02-04,170.7
IL0011726184,2024-02-04,222.5
IL0010960495,2024-02-04,29.7
IL0010952237,2024-02-04,539.1
IL0011015182,2024-02-04,29.3
IL0011739054,2024-02-04,50.2
IL0011875908,2024-02-04,21.1
IL0012013756,2024-02-04,16.9
IL0005300145,2024-02-04,1076.0
IL0011705139,2024-02-04,151.8
IL0011720971,2024-02-04,616.2
IL0004240102,2024-02-04,509.8
IL0010985658,2024-02-04,23000.0
IL0011406159,2024-02-04,112.01
IL0011575698,2024-02-04,109.34
IL0011745564,2024-02-04,94.6
IL0011406076,2024-02-04,112.74
IL0053102559,2024-02-04,99.82
IL0053102716,2024-02-04,97.03
IL0053103052,2024-02-04,93.38
IL0011988297,2024-02-04,104.19
IL0005310128,2024-02-04,2892.0
IL0004850116,2024-02-04,20.0
NL0009690619,2024-02-04,19840.0
IL0011283475,2024-02-04,114.67
IL0011330409,2024-02-04,109.84
IL0011007189,2024-02-04,1075.0
IL0010945157,2024-02-04,146.4
IL0028602378,2024-02-04,100.5
IL0005360115,2024-02-04,253.6
IL0011928632,2024-02-04,101.48
IL0011928558,2024-02-04,26.6
IL0003990145,2024-02-04,841.3
IL0010942832,2024-02-04,1196.0
IL0011051393,2024-02-04,28.1
IL0011790438,2024-02-04,1384.0
IL0011805954,2024-02-04,719.5
IL0011870610,2024-02-04,44.7
IL0011838625,2024-02-04,45.2
IL0011766354,2024-02-04,13.5
IL0004420126,2024-02-04,1466.0
IL0010952641,2024-02-04,29630.0
IL0010944739,2024-02-04,2.6
IL0001060131,2024-02-04,367.8
IL0011769085,2024-02-04,468.3
IL0011769242,2024-02-04,104.9
IL0001110134,2024-02-04,65.0
IL0010960073,2024-02-04,192.8
IL0010971468,2024-02-04,56.9
IL0011364648,2024-02-04,98.6
IL0011395915,2024-02-04,99.95
IL0011418295,2024-02-04,95.66
IL0011735664,2024-02-04,94.04
IL0012027798,2024-02-04,100.04
IL0011238503,2024-02-04,1551.0
IL0011900086,2024-02-04,99.65
IL0011879629,2024-02-04,2425.0
