FREQ,INDEX_BASE,MARKET_GEO,NBB_ISTI,TIME_PERIOD,CONF_STATUS
M,2010,OPD,100,2010-Q1,F
M,2010,OPD,100,2010-Q2,F
M,2010,OPD,100,2010-Q3,F
M,2010,OPD,100,2010-Q4,F
M,2010,OPD,100,2011-Q1,F
M,2010,OPD,100,2011-Q2,F
M,2010,OPD,100,2011-Q3,F
M,2010,OPD,100,2011-Q4,F
M,2010,OPD,1000,2010-Q1,E
M,2010,OPD,1000,2010-Q2,E
M,2010,OPD,1000,2010-Q3,E
M,2010,OPD,1000,2010-Q4,E
M,2010,OPD,1000,2011-Q1,E
M,2010,OPD,1000,2011-Q2,E
M,2010,OPD,1000,2011-Q3,E
M,2010,OPD,1000,2011-Q4,E
M,2010,OPD,1010,2010-Q1,F
M,2010,OPD,1010,2010-Q2,F
M,2010,OPD,1010,2010-Q3,F
M,2010,OPD,1010,2010-Q4,F
M,2010,OPD,1010,2011-Q1,F
M,2010,OPD,1010,2011-Q2,F
M,2010,OPD,1010,2011-Q3,F
M,2010,OPD,1010,2011-Q4,F
M,2010,OPD,1011,2010-Q1,F
M,2010,OPD,1011,2010-Q2,F
M,2010,OPD,1011,2010-Q3,F
M,2010,OPD,1011,2010-Q4,F
M,2010,OPD,1011,2011-Q1,F
M,2010,OPD,1011,2011-Q2,F
M,2010,OPD,1011,2011-Q3,F
M,2010,OPD,1011,2011-Q4,F
M,2010,OPD,1012,2010-Q1,C
M,2010,OPD,1012,2010-Q2,C
M,2010,OPD,1012,2010-Q3,C
M,2010,OPD,1012,2010-Q4,C
M,2010,OPD,1012,2011-Q1,C
M,2010,OPD,1012,2011-Q2,C
M,2010,OPD,1012,2011-Q3,C
M,2010,OPD,1012,2011-Q4,C
M,2010,OPD,1013,2010-Q1,N
M,2010,OPD,1013,2010-Q2,N
M,2010,OPD,1013,2010-Q3,N
M,2010,OPD,1013,2010-Q4,N
M,2010,OPD,1013,2011-Q1,N
M,2010,OPD,1013,2011-Q2,N
M,2010,OPD,1013,2011-Q3,N
M,2010,OPD,1013,2011-Q4,N
M,2010,OPD,1020,2010-Q1,E
M,2010,OPD,1020,2010-Q2,E
M,2010,OPD,1020,2010-Q3,E
M,2010,OPD,1020,2010-Q4,E
M,2010,OPD,1020,2011-Q1,E
M,2010,OPD,1020,2011-Q2,E
M,2010,OPD,1020,2011-Q3,E
M,2010,OPD,1020,2011-Q4,E
M,2010,OPD,1030,2010-Q1,F
M,2010,OPD,1030,2010-Q2,F
M,2010,OPD,1030,2010-Q3,F
M,2010,OPD,1030,2010-Q4,F
M,2010,OPD,1030,2011-Q1,F
M,2010,OPD,1030,2011-Q2,F
M,2010,OPD,1030,2011-Q3,F
M,2010,OPD,1030,2011-Q4,F
M,2010,OPD,1031,2010-Q1,F
M,2010,OPD,1031,2010-Q2,F
M,2010,OPD,1031,2010-Q3,F
M,2010,OPD,1031,2010-Q4,F
M,2010,OPD,1031,2011-Q1,F
M,2010,OPD,1031,2011-Q2,F
M,2010,OPD,1031,2011-Q3,F
M,2010,OPD,1031,2011-Q4,F
M,2010,OPD,1039,2010-Q1,C
M,2010,OPD,1039,2010-Q2,C
M,2010,OPD,1039,2010-Q3,C
M,2010,OPD,1039,2010-Q4,C
M,2010,OPD,1039,2011-Q1,C
M,2010,OPD,1039,2011-Q2,C
M,2010,OPD,1039,2011-Q3,C
M,2010,OPD,1039,2011-Q4,C
M,2010,OPD,1040,2010-Q1,N
M,2010,OPD,1040,2010-Q2,N
M,2010,OPD,1040,2010-Q3,N
M,2010,OPD,1040,2010-Q4,N
M,2010,OPD,1040,2011-Q1,N
M,2010,OPD,1040,2011-Q2,N
M,2010,OPD,1040,2011-Q3,N
M,2010,OPD,1040,2011-Q4,N
M,2010,OPD,1050,2010-Q1,E
M,2010,OPD,1050,2010-Q2,E
M,2010,OPD,1050,2010-Q3,E
M,2010,OPD,1050,2010-Q4,E
M,2010,OPD,1050,2011-Q1,E
M,2010,OPD,1050,2011-Q2,E
M,2010,OPD,1050,2011-Q3,E
M,2010,OPD,1050,2011-Q4,E
M,2010,OPD,1051,2010-Q1,F
M,2010,OPD,1051,2010-Q2,F
M,2010,OPD,1051,2010-Q3,F
M,2010,OPD,1051,2010-Q4,F
M,2010,OPD,1051,2011-Q1,F
M,2010,OPD,1051,2011-Q2,F
M,2010,OPD,1051,2011-Q3,F
M,2010,OPD,1051,2011-Q4,F
M,2010,OPD,1052,2010-Q1,F
M,2010,OPD,1052,2010-Q2,F
M,2010,OPD,1052,2010-Q3,F
M,2010,OPD,1052,2010-Q4,F
M,2010,OPD,1052,2011-Q1,F
M,2010,OPD,1052,2011-Q2,F
M,2010,OPD,1052,2011-Q3,F
M,2010,OPD,1052,2011-Q4,F
M,2010,OPD,1060,2010-Q1,C
M,2010,OPD,1060,2010-Q2,C
M,2010,OPD,1060,2010-Q3,C
M,2010,OPD,1060,2010-Q4,C
M,2010,OPD,1060,2011-Q1,C
M,2010,OPD,1060,2011-Q2,C
M,2010,OPD,1060,2011-Q3,C
M,2010,OPD,1060,2011-Q4,C
M,2010,OPD,1061,2010-Q1,N
M,2010,OPD,1061,2010-Q2,N
M,2010,OPD,1061,2010-Q3,N
M,2010,OPD,1061,2010-Q4,N
M,2010,OPD,1061,2011-Q1,N
M,2010,OPD,1061,2011-Q2,N
M,2010,OPD,1061,2011-Q3,N
M,2010,OPD,1061,2011-Q4,N
M,2010,OPD,1062,2010-Q1,E
M,2010,OPD,1062,2010-Q2,E
M,2010,OPD,1062,2010-Q3,E
M,2010,OPD,1062,2010-Q4,E
M,2010,OPD,1062,2011-Q1,E
M,2010,OPD,1062,2011-Q2,E
M,2010,OPD,1062,2011-Q3,E
M,2010,OPD,1062,2011-Q4,E
M,2010,OPD,1070,2010-Q1,F
M,2010,OPD,1070,2010-Q2,F
M,2010,OPD,1070,2010-Q3,F
M,2010,OPD,1070,2010-Q4,F
M,2010,OPD,1070,2011-Q1,F
M,2010,OPD,1070,2011-Q2,F
