INDEX_BASE,MARKET_GEO,NBB_ISTI,TIME_PERIOD,FREQ,OBS_VALUE,CONF_STATUS
2010,OPI,20,2010-Q1,Q,97.11333465576172,F
2010,OPI,31,2010-Q1,Q,97.36666361490886,C
2010,OPI,39,2010-Q1,Q,96.08666483561198,N
2010,OPI,40,2010-Q1,Q,95.78333282470703,E
2010,OPI,50,2010-Q1,Q,98.78333282470703,F
2010,OPI,60,2010-Q1,Q,99.14666748046875,F
2010,OPI,70,2010-Q1,Q,98.92000071207683,C
2010,OPI,80,2010-Q1,Q,98.93999989827473,N
2010,OPI,90,2010-Q1,Q,96.50999959309895,E
2010,OPI,100,2010-Q1,Q,99.98000081380208,F
2010,OPI,200,2010-Q1,Q,96.94666544596355,F
2010,OPI,257,2010-Q1,Q,98.91999816894531,C
2010,OPI,3500,2010-Q1,Q,98.1566670735677,N
2010,OPI,1920,2010-Q1,Q,95.04000091552734,E
2010,OPI,3510,2010-Q1,Q,99.23666636149089,F
2010,OPI,3520,2010-Q1,Q,94.58000183105469,F
2010,OPI,3600,2010-Q1,Q,99.83000183105469,C
2010,OPI,2400,2010-Q1,Q,90.61333465576172,N
2010,OPI,2410,2010-Q1,Q,87.7566655476888,E
2010,OPI,2430,2010-Q1,Q,94.50333150227864,F
2010,OPI,2434,2010-Q1,Q,92.04666646321614,F
2010,OPI,2440,2010-Q1,Q,95.38333384195964,C
2010,OPI,2444,2010-Q1,Q,92.80666605631511,N
2010,OPI,2450,2010-Q1,Q,99.16999816894531,E
2010,OPI,2451,2010-Q1,Q,98.41000366210938,F
2010,OPI,2453,2010-Q1,Q,100.0,F
2010,OPI,810,2010-Q1,Q,99.97999827067058,C
2010,OPI,811,2010-Q1,Q,99.96333567301433,N
2010,OPI,812,2010-Q1,Q,99.9933344523112,E
2010,OPI,2300,2010-Q1,Q,99.44666798909505,F
2010,OPI,2310,2010-Q1,Q,98.13666534423828,F
2010,OPI,2311,2010-Q1,Q,94.88333129882812,C
2010,OPI,2312,2010-Q1,Q,101.20999908447266,N
2010,OPI,2314,2010-Q1,Q,100.0,E
2010,OPI,2330,2010-Q1,Q,100.0,F
2010,OPI,2332,2010-Q1,Q,100.0,F
2010,OPI,2350,2010-Q1,Q,101.02000172932942,C
2010,OPI,2351,2010-Q1,Q,101.62666575113933,N
2010,OPI,2360,2010-Q1,Q,100.37000020345052,E
2010,OPI,2361,2010-Q1,Q,100.3566665649414,F
2010,OPI,2362,2010-Q1,Q,101.88999938964844,F
2010,OPI,2363,2010-Q1,Q,100.3499984741211,C
2010,OPI,2369,2010-Q1,Q,97.25666809082031,N
2010,OPI,2370,2010-Q1,Q,101.65333302815755,E
2010,OPI,2390,2010-Q1,Q,96.10000101725261,F
2010,OPI,2399,2010-Q1,Q,95.87666829427083,F
2010,OPI,2000,2010-Q1,Q,96.21000162760417,C
2010,OPI,2010,2010-Q1,Q,94.87666829427083,N
2010,OPI,2011,2010-Q1,Q,93.66333262125652,E
2010,OPI,2012,2010-Q1,Q,88.62333170572917,F
2010,OPI,2013,2010-Q1,Q,91.91000111897786,F
2010,OPI,2014,2010-Q1,Q,93.86000061035156,C
2010,OPI,2016,2010-Q1,Q,98.95333353678386,N
2010,OPI,2030,2010-Q1,Q,98.8199971516927,E
2010,OPI,2040,2010-Q1,Q,100.0,F
2010,OPI,2042,2010-Q1,Q,100.0,F
2010,OPI,2050,2010-Q1,Q,100.03000132242839,C
2010,OPI,2053,2010-Q1,Q,99.69999694824219,N
2010,OPI,2059,2010-Q1,Q,100.04000091552734,E
2010,OPI,2060,2010-Q1,Q,93.64666748046875,F
2010,OPI,2100,2010-Q1,Q,99.45999908447266,F
2010,OPI,2110,2010-Q1,Q,93.73999786376953,C
2010,OPI,2120,2010-Q1,Q,100.0,N
2010,OPI,2500,2010-Q1,Q,96.19666544596355,E
2010,OPI,2510,2010-Q1,Q,91.3933334350586,F
2010,OPI,2511,2010-Q1,Q,86.9499994913737,F
2010,OPI,2512,2010-Q1,Q,99.23999786376953,C
2010,OPI,2520,2010-Q1,Q,95.6566670735677,N
2010,OPI,2521,2010-Q1,Q,97.72999827067058,E
2010,OPI,2529,2010-Q1,Q,91.69666544596355,F
2010,OPI,2560,2010-Q1,Q,100.16000366210938,F
2010,OPI,2561,2010-Q1,Q,99.98999786376953,C
2010,OPI,2562,2010-Q1,Q,100.22000122070312,N
2010,OPI,2570,2010-Q1,Q,100.0,E
2010,OPI,2590,2010-Q1,Q,97.0066655476888,F
2010,OPI,2599,2010-Q1,Q,99.24000040690105,F
2010,OPI,2600,2010-Q1,Q,99.99000040690105,C
2010,OPI,2630,2010-Q1,Q,99.97666931152344,N
2010,OPI,2700,2010-Q1,Q,99.62000020345052,E
2010,OPI,2710,2010-Q1,Q,100.0,F
2010,OPI,2711,2010-Q1,Q,100.0,F
2010,OPI,2730,2010-Q1,Q,95.56000010172527,C
2010,OPI,2732,2010-Q1,Q,95.43999989827473,N
2010,OPI,2733,2010-Q1,Q,99.37999979654948,E
2010,OPI,2740,2010-Q1,Q,99.81666819254558,F
2010,OPI,2750,2010-Q1,Q,98.51000213623047,F
2010,OPI,2752,2010-Q1,Q,100.0199966430664,C
2010,OPI,2790,2010-Q1,Q,106.38999938964844,N
2010,OPI,2800,2010-Q1,Q,99.32666524251302,E
2010,OPI,2810,2010-Q1,Q,99.8133316040039,F
2010,OPI,2820,2010-Q1,Q,97.9000015258789,F
2010,OPI,2822,2010-Q1,Q,100.0,C
2010,OPI,2825,2010-Q1,Q,96.19999694824219,N
2010,OPI,2829,2010-Q1,Q,99.88999938964844,E
2010,OPI,2830,2010-Q1,Q,99.79000091552734,F
2010,OPI,2890,2010-Q1,Q,100.64999898274739,F
2010,OPI,2893,2010-Q1,Q,99.9800033569336,C
2010,OPI,2894,2010-Q1,Q,102.15333302815755,N
2010,OPI,2900,2010-Q1,Q,99.72000122070312,E
2010,OPI,2910,2010-Q1,Q,100.44666544596355,F
2010,OPI,2920,2010-Q1,Q,100.72666676839192,F
2010,OPI,2932,2010-Q1,Q,97.08000183105469,N
2010,OPI,1000,2010-Q1,Q,97.98666636149089,E
2010,OPI,1010,2010-Q1,Q,99.1066665649414,F
2010,OPI,1011,2010-Q1,Q,100.06000010172527,F
2010,OPI,1012,2010-Q1,Q,96.54666900634766,C
2010,OPI,1013,2010-Q1,Q,99.46999867757161,N
2010,OPI,1020,2010-Q1,Q,98.41666920979817,E
2010,OPI,1030,2010-Q1,Q,101.08666483561198,F
2010,OPI,1031,2010-Q1,Q,102.29000091552734,F
2010,OPI,1039,2010-Q1,Q,100.0500005086263,C
2010,OPI,1040,2010-Q1,Q,95.2866694132487,N
2010,OPI,1050,2010-Q1,Q,96.40333302815755,E
2010,OPI,1051,2010-Q1,Q,96.01333363850911,F
2010,OPI,1052,2010-Q1,Q,100.0,F
2010,OPI,1060,2010-Q1,Q,93.87333170572917,C
2010,OPI,1061,2010-Q1,Q,94.88999938964844,N
2010,OPI,1062,2010-Q1,Q,93.26333363850911,E
2010,OPI,1070,2010-Q1,Q,99.67333475748698,F
2010,OPI,1071,2010-Q1,Q,99.3499984741211,F
2010,OPI,1072,2010-Q1,Q,99.94666798909505,C
2010,OPI,1080,2010-Q1,Q,99.63999938964844,N
2010,OPI,1082,2010-Q1,Q,99.44333394368489,E
2010,OPI,1083,2010-Q1,Q,98.86000061035156,F
2010,OPI,1084,2010-Q1,Q,99.8433329264323,F
2010,OPI,1085,2010-Q1,Q,100.07333374023438,C
2010,OPI,1089,2010-Q1,Q,100.0,N
2010,OPI,1090,2010-Q1,Q,94.43000030517578,E
2010,OPI,1091,2010-Q1,Q,94.31000010172527,F
2010,OPI,1100,2010-Q1,Q,99.25999704996745,F
2010,OPI,1101,2010-Q1,Q,99.86000315348308,C
2010,OPI,1105,2010-Q1,Q,100.0,N
2010,OPI,1107,2010-Q1,Q,99.9933344523112,E
2010,OPI,1200,2010-Q1,Q,97.97000122070312,F
2010,OPI,1300,2010-Q1,Q,98.53999837239583,F
2010,OPI,1310,2010-Q1,Q,89.43999989827473,C
2010,OPI,1320,2010-Q1,Q,98.85999806722005,N
2010,OPI,1330,2010-Q1,Q,100.0,E
2010,OPI,1390,2010-Q1,Q,99.61333465576172,F
2010,OPI,1392,2010-Q1,Q,99.13333129882812,F
2010,OPI,1393,2010-Q1,Q,99.60000101725261,C
2010,OPI,1396,2010-Q1,Q,100.0,N
2010,OPI,1410,2010-Q1,Q,99.56666564941406,E
2010,OPI,1412,2010-Q1,Q,97.13999938964844,F
2010,OPI,1413,2010-Q1,Q,100.13333384195964,F
2010,OPI,1414,2010-Q1,Q,100.08666737874348,C
2010,OPI,1419,2010-Q1,Q,97.25333150227864,N
2010,OPI,1430,2010-Q1,Q,100.0,E
2010,OPI,1439,2010-Q1,Q,100.0,F
2010,OPI,1510,2010-Q1,Q,99.91000366210938,C
