FREQ,INDEX_BASE,MARKET_GEO,NBB_ISTI,TIME_PERIOD,CONF_STATUS,DECIMALS,EMBARGO_TIME,OBS_STATUS,OBS_VALUE,UNIT_MEASURE,UNIT_MULT
M,2010,OPI,20,2010-01,F,,,A,96.37,IX,0
M,2010,OPI,31,2010-01,C,,,A,96.99,IX,0
M,2010,OPI,39,2010-01,N,,,A,94.96,IX,0
M,2010,OPI,40,2010-01,E,,,A,95.08,IX,0
M,2010,OPI,50,2010-01,F,,,A,98.45,IX,0
M,2010,OPI,60,2010-01,F,,,A,99.22,IX,0
M,2010,OPI,70,2010-01,C,,,A,99.08,IX,0
M,2010,OPI,80,2010-01,N,,,A,99.1,IX,0
M,2010,OPI,90,2010-01,E,,,A,94.87,IX,0
M,2010,OPI,100,2010-01,F,,,A,99.87,IX,0
M,2010,OPI,200,2010-01,F,,,A,96.34,IX,0
M,2010,OPI,257,2010-01,C,,,A,98.7,IX,0
M,2010,OPI,3500,2010-01,N,,,A,96.38,IX,0
M,2010,OPI,1920,2010-01,E,,,A,93.39,IX,0
M,2010,OPI,3510,2010-01,F,,,A,97.01,IX,0
M,2010,OPI,3520,2010-01,F,,,A,94.29,IX,0
M,2010,OPI,3600,2010-01,C,,,A,99.83,IX,0
M,2010,OPI,2400,2010-01,N,,,A,89.07,IX,0
M,2010,OPI,2410,2010-01,E,,,A,86.18,IX,0
M,2010,OPI,2430,2010-01,F,,,A,92.7,IX,0
M,2010,OPI,2434,2010-01,F,,,A,88.87,IX,0
M,2010,OPI,2440,2010-01,C,,,A,93.83,IX,0
M,2010,OPI,2444,2010-01,N,,,A,87.75,IX,0
M,2010,OPI,2450,2010-01,E,,,A,99.17,IX,0
M,2010,OPI,2451,2010-01,F,,,A,98.41,IX,0
M,2010,OPI,2453,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,810,2010-01,C,,,A,99.85,IX,0
M,2010,OPI,811,2010-01,N,,,A,99.94,IX,0
M,2010,OPI,812,2010-01,E,,,A,99.68,IX,0
M,2010,OPI,2300,2010-01,F,,,A,99.23,IX,0
M,2010,OPI,2310,2010-01,F,,,A,98.6,IX,0
M,2010,OPI,2311,2010-01,C,,,A,96.02,IX,0
M,2010,OPI,2312,2010-01,N,,,A,101.21,IX,0
M,2010,OPI,2314,2010-01,E,,,A,100.0,IX,0
M,2010,OPI,2330,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,2332,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,2350,2010-01,C,,,A,99.48,IX,0
M,2010,OPI,2351,2010-01,N,,,A,99.18,IX,0
M,2010,OPI,2360,2010-01,E,,,A,100.01,IX,0
M,2010,OPI,2361,2010-01,F,,,A,99.45,IX,0
M,2010,OPI,2362,2010-01,F,,,A,101.89,IX,0
M,2010,OPI,2363,2010-01,C,,,A,101.29,IX,0
M,2010,OPI,2369,2010-01,N,,,A,96.85,IX,0
M,2010,OPI,2370,2010-01,E,,,A,101.24,IX,0
M,2010,OPI,2390,2010-01,F,,,A,95.65,IX,0
M,2010,OPI,2399,2010-01,F,,,A,95.4,IX,0
M,2010,OPI,2000,2010-01,C,,,A,95.26,IX,0
M,2010,OPI,2010,2010-01,N,,,A,93.46,IX,0
M,2010,OPI,2011,2010-01,E,,,A,90.06,IX,0
M,2010,OPI,2012,2010-01,F,,,A,87.21,IX,0
M,2010,OPI,2013,2010-01,F,,,A,90.22,IX,0
M,2010,OPI,2014,2010-01,C,,,A,92.14,IX,0
M,2010,OPI,2016,2010-01,N,,,A,98.52,IX,0
M,2010,OPI,2030,2010-01,E,,,A,99.35,IX,0
M,2010,OPI,2040,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,2042,2010-01,F,,,A,100.0,IX,0
M,2010,OPI,2050,2010-01,C,,,A,100.32,IX,0
M,2010,OPI,2053,2010-01,N,,,A,99.7,IX,0
M,2010,OPI,2059,2010-01,E,,,A,100.35,IX,0
M,2010,OPI,2060,2010-01,F,,,A,92.04,IX,0
M,2010,OPI,2100,2010-01,F,,,A,99.46,IX,0
M,2010,OPI,2110,2010-01,C,,,A,93.74,IX,0
M,2010,OPI,2120,2010-01,N,,,A,100.0,IX,0
M,2010,OPI,2500,2010-01,E,,,A,95.81,IX,0
M,2010,OPI,2510,2010-01,F,,,A,89.78,IX,0
M,2010,OPI,2511,2010-01,F,,,A,84.58,IX,0
M,2010,OPI,2512,2010-01,C,,,A,99.07,IX,0
M,2010,OPI,2520,2010-01,N,,,A,95.06,IX,0
M,2010,OPI,2521,2010-01,E,,,A,97.84,IX,0
M,2010,OPI,2529,2010-01,F,,,A,89.7,IX,0
M,2010,OPI,2560,2010-01,F,,,A,100.16,IX,0
M,2010,OPI,2561,2010-01,C,,,A,99.99,IX,0
M,2010,OPI,2562,2010-01,N,,,A,100.22,IX,0
M,2010,OPI,2570,2010-01,E,,,A,100.0,IX,0
M,2010,OPI,2590,2010-01,F,,,A,98.45,IX,0
M,2010,OPI,2599,2010-01,F,,,A,101.61,IX,0
M,2010,OPI,2600,2010-01,C,,,A,99.97,IX,0
M,2010,OPI,2630,2010-01,N,,,A,99.91,IX,0
M,2010,OPI,2700,2010-01,E,,,A,99.39,IX,0
